GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_4951: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,v_CA16_4952: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,v_CA16_4953: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,v_CA16_4984: Total - Income statistics in 2015 for private households by household size - 25% sample data,v_CA16_4987: Total - Income statistics in 2015 for one-person private households - 25% sample data,v_CA16_4990: Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data,v_CA16_4993: Total - Income statistics in 2015 for economic families in private households - 25% sample data,v_CA16_4996: Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data,v_CA16_4999: Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data,v_CA16_6751: Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,v_CA16_6752: Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,v_CA16_6753: Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,v_CA16_5002: Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data,v_CA16_5006: Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,v_CA16_5005: Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,v_CA16_5007: Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,v_CA16_2605: Official languages,v_CA16_2604: Official languages,v_CA16_2606: Official languages,v_CA16_2614: Non-official languages,v_CA16_2613: Non-official languages,v_CA16_2615: Non-official languages,v_CA16_5807: Bicycle
5350001.00,CT,Toronto,6.62211,595,274,247,505,300,210,245,75,175,170,80,65,505,295,205,20,80,120,40,315,565,245,110,185,75,30
5350002.00,CT,Toronto,3.2947,620,279,270,605,270,330,285,65,225,210,100,70,605,270,335,30,40,100,65,290,650,360,55,115,65,75
5350003.00,CT,Toronto,0.94253,749,267,258,420,200,220,265,130,135,130,50,30,425,200,220,40,70,150,80,220,455,235,85,205,120,20
5350004.00,CT,Toronto,0.34347,6686,3609,3455,5710,2845,2860,3450,1800,1645,1365,535,455,5710,2845,2865,290,1410,2565,1155,3045,6045,3000,1500,3155,1660,385
5350005.00,CT,Toronto,0.37612,6424,3729,3424,5525,2635,2895,3425,1725,1700,1410,585,385,5530,2630,2895,340,1225,2380,1160,2835,5880,3045,1265,2670,1405,320
5350006.00,CT,Toronto,0.01288,0,0,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
5350007.01,CT,Toronto,0.19931,3237,1827,1747,2840,1485,1355,1760,930,825,700,265,225,2840,1485,1355,165,740,1275,530,1615,3100,1480,700,1425,730,185
5350007.02,CT,Toronto,0.43657,4753,2653,2506,4090,2055,2030,2495,1270,1225,1050,400,350,4090,2060,2030,235,890,1665,780,2220,4405,2185,1180,2395,1215,235
5350008.01,CT,Toronto,0.29723,7503,5192,4954,7335,3665,3665,4975,2730,2245,1875,1425,250,7335,3665,3665,70,1775,3525,1750,3810,7570,3760,1320,2760,1430,325
5350008.02,CT,Toronto,1.83937,9942,6390,6060,9235,4500,4735,6060,3200,2860,2390,1435,480,9235,4500,4740,330,2075,4240,2170,4760,9715,4955,1975,4320,2345,400
5350009.00,CT,Toronto,0.10317,567,169,166,265,130,130,170,105,70,45,15,0,265,130,130,20,80,165,90,140,270,130,45,100,55,10
5350010.01,CT,Toronto,0.26263,5428,3281,3147,4730,2205,2525,3120,1620,1500,1330,745,320,4730,2205,2525,220,955,2020,1065,2410,5145,2735,720,1700,985,225
5350010.02,CT,Toronto,0.54735,7740,4628,4447,6830,3360,3470,4445,2420,2025,1720,1030,415,6825,3360,3470,215,1520,3165,1645,3585,7250,3665,1320,2775,1455,370
5350011.00,CT,Toronto,0.98037,17549,15207,11891,16935,8715,8215,11890,7280,4615,3550,2645,495,16935,8715,8220,210,4975,9545,4570,8925,17295,8370,3345,6995,3650,450
5350012.01,CT,Toronto,0.41877,11658,7449,6881,10845,5435,5410,6880,3430,3450,2550,1510,500,10840,5435,5410,330,2820,5395,2580,5715,11395,5675,2875,5895,3020,380
5350012.03,CT,Toronto,0.46643,8865,5997,5311,8280,4420,3860,5275,2675,2595,2005,1250,420,8280,4415,3860,160,2300,4030,1730,4605,8600,3995,2410,4650,2245,140
5350012.04,CT,Toronto,0.233,4899,3258,2956,4670,2340,2330,2975,1490,1485,1210,790,255,4670,2340,2330,95,1045,2135,1085,2430,4860,2430,1110,2365,1260,90
5350013.01,CT,Toronto,0.34314,6290,4499,4059,5985,3075,2910,4080,2325,1750,1470,995,265,5985,3075,2910,145,1505,2910,1410,3180,6215,3035,1355,2790,1435,40
5350013.02,CT,Toronto,0.41796,8126,5270,4725,7535,3710,3820,4710,2270,2445,2110,1335,520,7535,3710,3825,155,1470,2960,1490,3925,7895,3970,1985,4210,2230,65
5350014.00,CT,Toronto,0.47266,1242,975,691,1115,610,505,680,310,370,340,195,85,1115,610,505,45,245,375,130,645,1180,530,275,585,310,10
5350015.00,CT,Toronto,0.28599,3663,2451,2226,3490,1720,1770,2255,1180,1075,935,665,155,3495,1715,1770,80,715,1470,755,1800,3630,1830,565,1370,805,25
5350016.00,CT,Toronto,0.65971,10101,6527,6180,9120,4620,4505,6180,3515,2665,2345,1635,385,9120,4615,4505,220,2150,4225,2070,4910,9645,4735,1670,3585,1915,350
5350017.00,CT,Toronto,1.37531,7906,5250,4663,7145,3335,3810,4665,2515,2150,1890,930,420,7140,3330,3805,470,1425,3105,1675,3680,7800,4125,1280,2825,1545,330
5350018.00,CT,Toronto,0.35178,2456,1319,1248,2080,1040,1045,1230,535,695,635,325,210,2080,1040,1040,95,340,715,370,1195,2340,1155,295,620,330,135
5350019.00,CT,Toronto,0.24894,3258,1410,1365,2670,1315,1355,1405,515,890,810,270,310,2665,1315,1355,210,355,730,375,1460,2850,1395,505,1055,555,120
5350020.00,CT,Toronto,0.73862,2390,1028,1014,2005,935,1070,1030,295,730,715,295,345,2005,935,1065,70,110,340,230,1140,2410,1270,225,575,350,35
5350021.00,CT,Toronto,0.86807,5199,2830,2661,4420,1985,2435,2645,1230,1415,1325,565,515,4420,1985,2440,220,650,1460,815,2355,5140,2790,435,1105,675,180
5350022.00,CT,Toronto,0.55462,3883,1577,1504,3150,1515,1635,1500,355,1145,1140,285,650,3150,1515,1630,175,195,415,220,1965,4015,2050,265,620,355,85
5350023.00,CT,Toronto,0.68635,3208,1355,1286,2560,1205,1355,1290,405,890,880,340,420,2560,1210,1355,80,165,430,265,1450,3040,1590,195,410,215,55
5350024.00,CT,Toronto,0.70927,6887,3136,2963,5485,2605,2880,2960,980,1990,1900,670,870,5485,2605,2885,320,595,1235,645,3250,6785,3535,570,1140,570,215
5350025.00,CT,Toronto,0.52843,3456,1659,1610,2800,1335,1460,1595,615,985,935,345,405,2795,1335,1460,150,345,755,410,1655,3365,1710,315,750,435,105
5350026.00,CT,Toronto,0.77719,6486,2894,2695,5325,2600,2730,2695,840,1855,1735,560,775,5325,2595,2730,355,620,1255,635,3085,6205,3125,1120,2265,1145,250
5350027.00,CT,Toronto,0.48531,4390,1818,1724,3635,1820,1810,1740,465,1275,1205,435,505,3630,1825,1810,200,380,715,340,2060,3920,1855,820,1710,890,165
5350028.01,CT,Toronto,0.20716,1387,728,684,1150,580,570,680,280,395,385,165,160,1145,580,565,45,150,315,160,665,1340,675,170,340,170,50
5350028.02,CT,Toronto,0.46335,6198,3007,2836,5060,2405,2655,2825,1130,1695,1570,690,590,5060,2405,2655,200,630,1510,880,2595,5455,2855,945,2000,1055,240
5350029.00,CT,Toronto,0.68669,6987,3099,2962,5790,2880,2905,2950,1055,1890,1725,640,685,5790,2885,2910,330,810,1625,815,3050,6050,3000,1585,3190,1605,325
5350030.00,CT,Toronto,0.38708,4529,2319,2195,3830,1950,1885,2220,1040,1180,990,390,305,3830,1945,1880,235,815,1520,705,2215,4300,2080,1005,2145,1145,190
5350031.00,CT,Toronto,0.26375,6274,2864,2765,5215,2660,2560,2735,1100,1635,1480,390,630,5215,2655,2560,440,800,1465,665,2955,5715,2760,2050,4255,2210,110
5350032.00,CT,Toronto,0.4197,5363,2976,2641,3980,2440,1545,2685,1710,975,775,380,170,3980,2440,1545,175,1595,2280,690,2505,4135,1635,1030,1705,675,225
5350033.00,CT,Toronto,0.31957,5042,3010,2733,3925,2170,1755,2685,1625,1065,905,355,190,3925,2170,1760,310,1260,2045,785,2405,4330,1925,1210,2265,1055,115
5350034.01,CT,Toronto,0.12455,4554,2884,2268,3910,2090,1820,2345,1065,1275,915,485,215,3910,2090,1820,110,1055,1915,860,2185,4040,1850,1150,2205,1055,70
5350034.02,CT,Toronto,0.39824,5147,3409,3055,4560,2445,2110,3025,1680,1340,1000,535,200,4555,2450,2105,185,1375,2440,1065,2580,4795,2215,1145,2180,1035,95
5350035.00,CT,Toronto,0.66273,9876,6772,5707,9145,4260,4885,5715,2905,2815,2030,950,560,9145,4260,4885,300,2125,4700,2575,4505,9485,4975,3065,6685,3620,120
5350036.00,CT,Toronto,0.38343,5487,3641,3272,5180,2495,2690,3270,1795,1475,1165,610,255,5180,2495,2685,165,1270,2615,1340,2485,4985,2500,1415,3100,1685,210
5350037.00,CT,Toronto,0.45102,4494,2463,2116,4000,1980,2025,2120,945,1170,680,255,235,4005,1980,2020,135,1225,2375,1145,2025,3990,1970,1160,2480,1315,290
5350038.00,CT,Toronto,0.36616,3772,1820,1638,3285,1620,1665,1640,725,915,650,250,215,3285,1615,1665,135,885,1695,815,1520,2930,1415,905,2040,1130,275
5350039.00,CT,Toronto,0.31773,4192,1821,1709,3680,1740,1940,1705,625,1080,935,295,290,3675,1740,1935,330,620,1230,610,1620,3220,1595,1240,2590,1355,165
5350040.00,CT,Toronto,0.36873,4568,1961,1788,4015,2070,1940,1755,480,1275,1090,420,430,4015,2070,1940,180,695,1250,555,1850,3670,1820,1270,2510,1240,305
5350041.00,CT,Toronto,0.31712,3453,1588,1453,3090,1500,1590,1485,460,1030,820,330,285,3095,1505,1585,155,490,1065,575,1535,3060,1520,830,1805,975,310
5350042.00,CT,Toronto,0.48994,4570,2150,1965,4015,1935,2080,1955,640,1310,1050,440,405,4015,1935,2080,140,695,1430,735,2050,4120,2070,995,2065,1070,450
5350043.00,CT,Toronto,0.55392,3965,1863,1704,3365,1625,1735,1715,575,1140,965,425,385,3365,1625,1735,130,510,1130,620,1725,3410,1685,720,1580,865,315
5350044.00,CT,Toronto,0.49064,8825,5124,4629,7785,3775,4005,4590,2070,2520,1855,995,525,7785,3775,4005,185,1740,3645,1905,3950,8015,4060,1550,3295,1745,740
