GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_3390: Total - Citizenship for the population in private households - 25% sample data,v_CA16_3405: Total - Immigrant status and period of immigration for the population in private households - 25% sample data,v_CA16_3438: Total - Age at immigration for the immigrant population in private households - 25% sample data,v_CA16_3456: Total - Selected places of birth for the immigrant population in private households - 25% sample data,v_CA16_3636: Total - Selected places of birth for the recent immigrant population in private households - 25% sample data,v_CA16_3819: Total - Generation status for the population in private households - 25% sample data,v_CA16_3831: Total - Admission category and applicant type for the immigrant population in private households who landed between 1980 and 2016 - 25% sample data,v_CA16_3852: Total - Aboriginal identity for the population in private households - 25% sample data,v_CA16_3879: Total - Population by Registered or Treaty Indian status for the population in private households - 25% sample data,v_CA16_3888: Total - Aboriginal ancestry for the population in private households - 25% sample data,v_CA16_3954: Total - Visible minority for the population in private households - 25% sample data,v_CA16_3999: Total - Ethnic origin for the population in private households - 25% sample data,v_CA16_5807: Bicycle
3518001,CSD,Pickering (CY),233.47884,91771,31630,30919,90995,90995,31155,31160,1925,90995,20175,90990,90995,90995,90995,90995,115
3518005,CSD,Ajax (T),67.65659,119677,38105,37549,119180,119175,46335,46335,3585,119175,35710,119175,119175,119175,119175,119180,275
3518029,CSD,Uxbridge (TP),423.88393,21176,7946,7663,20975,20975,2665,2665,115,20970,1155,20970,20970,20975,20970,20970,55
3519028,CSD,Vaughan (CY),275.04996,306233,96657,94253,304145,304145,140960,140960,10790,304145,99150,304145,304145,304145,304145,304145,325
3519036,CSD,Markham (CY),213.23371,328966,106131,102676,327400,327400,192220,192215,20655,327400,161675,327400,327400,327400,327400,327405,465
3519038,CSD,Richmond Hill (T),102.41745,195022,66465,64116,193800,193805,111230,111230,13995,193800,93260,193805,193800,193800,193800,193800,235
3519044,CSD,Whitchurch-Stouffville (T),209.16236,45837,15712,15355,45340,45345,14740,14740,975,45345,10840,45340,45345,45345,45345,45345,70
3519046,CSD,Aurora (T),50.19574,55445,19381,18851,54705,54705,16510,16510,1850,54705,12230,54705,54705,54705,54700,54705,90
3519048,CSD,Newmarket (T),38.57759,84224,29315,28673,82730,82725,23240,23235,2290,82730,17235,82725,82725,82730,82730,82730,185
3519049,CSD,King (TP),336.17967,24512,8736,8144,24365,24365,5985,5985,175,24365,2980,24365,24365,24365,24365,24365,30
3519054,CSD,East Gwillimbury (T),247.26108,23991,8279,8077,23435,23440,4330,4335,280,23435,2580,23435,23440,23435,23435,23440,15
3519070,CSD,Georgina (T),609.70293,45418,18687,16821,44765,44765,6005,6010,385,44765,3275,44765,44765,44765,44765,44765,45
3519076,CSD,Chippewas of Georgina Island First Nation (IRI),15.77302,261,565,118,0,0,0,0,0,260,0,260,260,260,260,260,0
3520005,CSD,Toronto (C),634.43388,2731571,1179057,1112929,2691665,2691665,1266005,1266000,187950,2691665,988320,2691665,2691665,2691665,2691665,2691665,34355
3521005,CSD,Mississauga (CY),292.93224,721599,248469,240913,715475,715475,381735,381735,53415,715470,309275,715475,715475,715475,715470,715475,1135
3521010,CSD,Brampton (CY),267.90857,593638,173428,168011,590950,590945,308790,308795,39915,590945,263220,590945,590945,590950,590945,590945,725
3521024,CSD,Caledon (T),695.55018,66502,22021,21256,66215,66220,16315,16310,780,66220,9070,66220,66220,66220,66220,66220,35
3522012,CSD,Mono (T),280.58695,8609,3127,2919,8555,8555,1660,1660,30,8555,725,8555,8555,8555,8555,8550,0
3522014,CSD,Orangeville (T),15.89666,28900,10696,10565,28350,28350,3505,3510,250,28350,1615,28350,28350,28350,28350,28355,85
3524001,CSD,Oakville (T),139.64673,193832,68617,66269,191715,191720,68850,68845,10180,191715,50005,191720,191715,191720,191720,191715,550
3524009,CSD,Milton (T),365.03646,110128,35537,34257,108935,108935,39105,39105,5635,108935,32905,108935,108935,108935,108935,108935,200
3524015,CSD,Halton Hills (T),277.76811,61161,21475,21078,60200,60195,9745,9745,535,60200,5115,60195,60195,60200,60200,60200,145
3543007,CSD,New Tecumseth (T),274.78374,34242,13191,12906,33730,33735,4835,4835,250,33735,2245,33735,33735,33735,33730,33730,125
3543014,CSD,Bradford West Gwillimbury (T),202.81546,35325,11918,11591,34965,34965,9625,9620,960,34965,6720,34965,34960,34965,34965,34965,60
