GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_4840: Total - Occupied private dwellings by condominium status - 25% sample data,v_CA16_4843: Total - Occupied private dwellings by number of bedrooms - 25% sample data,v_CA16_4836: Total - Private households by tenure - 25% sample data,v_CA16_4862: Total - Occupied private dwellings by period of construction - 25% sample data,v_CA16_4870: Total - Occupied private dwellings by dwelling condition - 25% sample data,v_CA16_4856: Total - Private households by number of persons per room - 25% sample data,v_CA16_4859: Total - Private households by housing suitability - 25% sample data,v_CA16_4873: Total - Private households by number of household maintainers - 25% sample data,v_CA16_4877: Total - Private households by age of primary household maintainers - 25% sample data,"v_CA16_4886: Total -  Owner and tenant households with household total income greater than zero, in non-farm, non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data","v_CA16_4890: Total - Owner households in non-farm, non-reserve private dwellings - 25% sample data","v_CA16_4897: Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data",v_CA16_5141: Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 15 years and over in private households - 25% sample data,v_CA16_5327: Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 25 to 64 years in private households - 25% sample data,v_CA16_5513: Total - Location of study compared with province or territory of residence with countries outside Canada for the population aged 15 years and over in private households - 25% sample data,v_CA16_5555: Total - Location of study compared with province or territory of residence with countries outside Canada for the population aged 25 to 64 years in private households - 25% sample data,v_CA16_5807: Bicycle
3518001,CSD,Pickering (CY),233.47884,91771,31630,30919,30920,30915,30920,30920,30920,30915,30920,30920,30915,30815,26985,3875,76110,50390,76105,50390,115
3518005,CSD,Ajax (T),67.65659,119677,38105,37549,37550,37550,37545,37550,37550,37550,37550,37550,37545,37510,32360,5165,95545,65765,95540,65760,275
3518029,CSD,Uxbridge (TP),423.88393,21176,7946,7663,7665,7660,7660,7665,7660,7665,7665,7665,7665,7415,6375,1050,17660,11150,17655,11150,55
3519028,CSD,Vaughan (CY),275.04996,306233,96657,94253,94255,94255,94250,94255,94250,94255,94250,94250,94250,94130,84470,9755,246660,163520,246655,163525,325
3519036,CSD,Markham (CY),213.23371,328966,106131,102676,102675,102675,102675,102675,102675,102675,102675,102675,102675,102425,88390,14275,272055,180935,272050,180935,465
3519038,CSD,Richmond Hill (T),102.41745,195022,66465,64116,64115,64120,64115,64115,64115,64115,64115,64120,64115,64025,52855,11265,161265,107660,161260,107660,235
3519044,CSD,Whitchurch-Stouffville (T),209.16236,45837,15712,15355,15355,15355,15355,15355,15355,15355,15355,15355,15355,15255,13540,1735,36040,24325,36040,24320,70
3519046,CSD,Aurora (T),50.19574,55445,19381,18851,18855,18850,18850,18850,18850,18850,18855,18855,18850,18840,15815,3035,44870,30290,44870,30285,90
3519048,CSD,Newmarket (T),38.57759,84224,29315,28673,28675,28675,28670,28675,28675,28675,28670,28670,28675,28655,22800,5875,67905,45575,67905,45575,185
3519049,CSD,King (TP),336.17967,24512,8736,8144,8145,8145,8145,8140,8145,8145,8145,8140,8140,7975,6985,1015,19930,12975,19930,12970,30
3519054,CSD,East Gwillimbury (T),247.26108,23991,8279,8077,8075,8075,8075,8075,8075,8080,8080,8075,8080,7990,7155,845,19345,12945,19340,12940,15
3519070,CSD,Georgina (T),609.70293,45418,18687,16821,16820,16820,16820,16820,16820,16825,16820,16820,16820,16695,14025,2680,37275,25375,37275,25375,45
3519076,CSD,Chippewas of Georgina Island First Nation (IRI),15.77302,261,565,118,115,115,115,115,120,120,115,120,120,0,0,0,210,135,215,140,0
3520005,CSD,Toronto (C),634.43388,2731571,1179057,1112929,1112930,1112930,1112930,1112930,1112925,1112930,1112930,1112930,1112930,1110740,587080,525825,2294790,1554810,2294785,1554810,34355
3521005,CSD,Mississauga (CY),292.93224,721599,248469,240913,240910,240915,240915,240915,240910,240915,240915,240915,240910,240660,174120,66785,594765,395240,594765,395240,1135
3521010,CSD,Brampton (CY),267.90857,593638,173428,168011,168010,168010,168010,168010,168010,168010,168010,168010,168010,167930,134385,33610,470765,320695,470765,320690,725
3521024,CSD,Caledon (T),695.55018,66502,22021,21256,21260,21260,21255,21255,21260,21260,21255,21260,21260,20985,19040,1945,53875,35940,53870,35940,35
3522012,CSD,Mono (T),280.58695,8609,3127,2919,2920,2920,2920,2920,2920,2920,2920,2915,2920,2825,2650,180,7195,4520,7190,4525,0
3522014,CSD,Orangeville (T),15.89666,28900,10696,10565,10565,10565,10565,10565,10565,10565,10565,10565,10565,10545,8160,2405,22880,15455,22875,15450,85
3524001,CSD,Oakville (T),139.64673,193832,68617,66269,66270,66270,66270,66270,66270,66265,66270,66270,66270,66160,54115,12135,155020,101225,155025,101225,550
3524009,CSD,Milton (T),365.03646,110128,35537,34257,34255,34260,34255,34260,34260,34260,34260,34260,34255,34055,29265,4835,80555,59590,80560,59590,200
3524015,CSD,Halton Hills (T),277.76811,61161,21475,21078,21075,21075,21080,21080,21080,21080,21080,21075,21075,20965,17980,2995,48770,32515,48770,32510,145
3543007,CSD,New Tecumseth (T),274.78374,34242,13191,12906,12905,12905,12905,12910,12910,12910,12905,12905,12905,12760,10645,2120,27900,17915,27900,17915,125
3543014,CSD,Bradford West Gwillimbury (T),202.81546,35325,11918,11591,11590,11590,11590,11595,11590,11590,11590,11590,11595,11495,9495,2005,27740,19765,27735,19760,60
