GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_5809: Bicycle,v_CA16_5808: Bicycle,v_CA16_5807: Bicycle
5350001.00,CT,Toronto,6.62211,595,274,247,10,25,30
5350002.00,CT,Toronto,3.2947,620,279,270,30,45,75
5350003.00,CT,Toronto,0.94253,749,267,258,15,0,20
5350004.00,CT,Toronto,0.34347,6686,3609,3455,160,225,385
5350005.00,CT,Toronto,0.37612,6424,3729,3424,105,220,320
5350006.00,CT,Toronto,0.01288,0,0,0,x,x,x
5350007.01,CT,Toronto,0.19931,3237,1827,1747,60,125,185
5350007.02,CT,Toronto,0.43657,4753,2653,2506,85,150,235
5350008.01,CT,Toronto,0.29723,7503,5192,4954,120,205,325
5350008.02,CT,Toronto,1.83937,9942,6390,6060,115,285,400
5350009.00,CT,Toronto,0.10317,567,169,166,0,10,10
5350010.01,CT,Toronto,0.26263,5428,3281,3147,80,145,225
5350010.02,CT,Toronto,0.54735,7740,4628,4447,180,195,370
5350011.00,CT,Toronto,0.98037,17549,15207,11891,155,300,450
5350012.01,CT,Toronto,0.41877,11658,7449,6881,115,265,380
5350012.03,CT,Toronto,0.46643,8865,5997,5311,20,115,140
5350012.04,CT,Toronto,0.233,4899,3258,2956,40,50,90
5350013.01,CT,Toronto,0.34314,6290,4499,4059,15,30,40
5350013.02,CT,Toronto,0.41796,8126,5270,4725,25,45,65
5350014.00,CT,Toronto,0.47266,1242,975,691,0,0,10
5350015.00,CT,Toronto,0.28599,3663,2451,2226,15,15,25
5350016.00,CT,Toronto,0.65971,10101,6527,6180,135,210,350
5350017.00,CT,Toronto,1.37531,7906,5250,4663,120,210,330
5350018.00,CT,Toronto,0.35178,2456,1319,1248,50,85,135
5350019.00,CT,Toronto,0.24894,3258,1410,1365,45,75,120
5350020.00,CT,Toronto,0.73862,2390,1028,1014,0,30,35
5350021.00,CT,Toronto,0.86807,5199,2830,2661,75,105,180
5350022.00,CT,Toronto,0.55462,3883,1577,1504,20,70,85
5350023.00,CT,Toronto,0.68635,3208,1355,1286,10,45,55
5350024.00,CT,Toronto,0.70927,6887,3136,2963,65,155,215
5350025.00,CT,Toronto,0.52843,3456,1659,1610,30,75,105
5350026.00,CT,Toronto,0.77719,6486,2894,2695,105,145,250
5350027.00,CT,Toronto,0.48531,4390,1818,1724,60,105,165
5350028.01,CT,Toronto,0.20716,1387,728,684,25,25,50
5350028.02,CT,Toronto,0.46335,6198,3007,2836,110,135,240
5350029.00,CT,Toronto,0.68669,6987,3099,2962,150,170,325
5350030.00,CT,Toronto,0.38708,4529,2319,2195,80,115,190
5350031.00,CT,Toronto,0.26375,6274,2864,2765,35,70,110
5350032.00,CT,Toronto,0.4197,5363,2976,2641,80,150,225
5350033.00,CT,Toronto,0.31957,5042,3010,2733,25,85,115
5350034.01,CT,Toronto,0.12455,4554,2884,2268,20,55,70
5350034.02,CT,Toronto,0.39824,5147,3409,3055,40,60,95
5350035.00,CT,Toronto,0.66273,9876,6772,5707,40,80,120
5350036.00,CT,Toronto,0.38343,5487,3641,3272,75,135,210
5350037.00,CT,Toronto,0.45102,4494,2463,2116,110,180,290
5350038.00,CT,Toronto,0.36616,3772,1820,1638,105,170,275
5350039.00,CT,Toronto,0.31773,4192,1821,1709,60,105,165
5350040.00,CT,Toronto,0.36873,4568,1961,1788,120,185,305
5350041.00,CT,Toronto,0.31712,3453,1588,1453,130,185,310
5350042.00,CT,Toronto,0.48994,4570,2150,1965,205,245,450
5350043.00,CT,Toronto,0.55392,3965,1863,1704,160,160,315
5350044.00,CT,Toronto,0.49064,8825,5124,4629,290,450,740
5350045.00,CT,Toronto,0.29514,3453,1567,1468,115,170,290
5350046.00,CT,Toronto,0.42036,3281,1404,1330,100,130,230
5350047.02,CT,Toronto,0.28694,3791,2083,1947,95,120,215
5350047.03,CT,Toronto,0.11809,703,376,361,35,50,85
5350047.04,CT,Toronto,0.27379,2846,1253,1180,90,125,215
5350048.00,CT,Toronto,0.3349,3557,1660,1560,105,165,265
5350049.00,CT,Toronto,0.46479,3663,1506,1426,95,135,230
5350050.01,CT,Toronto,1.46504,8746,4553,4336,50,90,140
5350050.03,CT,Toronto,1.92412,1109,606,590,0,10,10
5350050.04,CT,Toronto,0.77861,5008,2291,2212,35,65,105
5350051.00,CT,Toronto,0.69119,5399,2570,2313,130,190,325
5350052.00,CT,Toronto,0.50129,4077,1933,1839,160,135,295
5350053.00,CT,Toronto,0.68317,5982,2840,2712,175,180,355
5350054.00,CT,Toronto,0.70239,5803,2975,2724,210,210,420
5350055.00,CT,Toronto,0.27636,2763,1403,1320,170,150,320
5350056.00,CT,Toronto,0.50948,4772,2170,2018,250,250,495
5350057.00,CT,Toronto,0.26644,2311,1226,1108,110,105,210
5350058.00,CT,Toronto,0.38414,3980,2063,1888,225,220,445
5350059.00,CT,Toronto,0.36663,3837,1621,1447,190,195,390
5350060.00,CT,Toronto,0.27159,2685,1669,1471,60,90,150
5350061.00,CT,Toronto,0.76722,1085,536,475,0,10,15
5350062.01,CT,Toronto,0.10685,5595,3852,3302,30,60,90
5350062.02,CT,Toronto,0.58534,9084,6837,5374,30,75,105
5350063.03,CT,Toronto,0.09338,5104,3640,3405,25,110,135
5350063.04,CT,Toronto,0.14093,3370,2409,2264,35,80,115
5350063.05,CT,Toronto,0.12992,4331,3429,2943,45,80,120
5350063.06,CT,Toronto,0.19221,5171,3761,3519,30,100,130
5350064.00,CT,Toronto,0.19472,4311,2898,2683,65,105,175
5350065.01,CT,Toronto,0.08613,2483,1496,1394,10,70,70
5350065.02,CT,Toronto,0.14341,11821,5715,5481,65,165,230
5350066.00,CT,Toronto,0.32848,7608,4597,4425,120,205,325
5350067.00,CT,Toronto,0.66344,1694,868,814,45,80,125
5350068.00,CT,Toronto,0.43058,2367,1296,1203,110,150,260
5350069.00,CT,Toronto,0.87273,4923,2011,1894,125,180,305
5350070.00,CT,Toronto,0.44642,3512,1774,1712,65,60,125
5350071.00,CT,Toronto,0.46398,3481,1521,1402,70,115,185
5350072.01,CT,Toronto,0.40518,4586,1949,1864,80,75,160
5350072.02,CT,Toronto,0.5369,3141,1320,1261,60,95,145
5350073.00,CT,Toronto,0.35718,2605,1077,1007,25,55,80
5350074.00,CT,Toronto,0.3998,3848,1710,1598,115,95,205
5350075.00,CT,Toronto,0.49858,4083,1839,1760,25,100,125
5350076.00,CT,Toronto,0.45744,4415,1993,1937,45,75,115
5350077.00,CT,Toronto,0.6104,4670,1968,1907,60,105,160
5350078.00,CT,Toronto,0.77495,6016,2980,2854,40,95,135
5350079.00,CT,Toronto,1.01839,7327,2986,2887,60,75,135
5350080.01,CT,Toronto,0.47192,3352,1496,1428,20,20,45
