GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_5809: Bicycle,v_CA16_5808: Bicycle,v_CA16_5807: Bicycle
5050001.01,CT,Ottawa,2.00958,7982,3514,3282,10,35,45
5050001.04,CT,Ottawa,1.36066,2718,1237,1163,0,15,15
5050001.05,CT,Ottawa,2.70025,5984,2022,1984,10,20,30
5050001.06,CT,Ottawa,1.25433,6111,2402,2347,15,10,25
5050001.07,CT,Ottawa,0.97422,4193,1473,1444,0,10,15
5050001.08,CT,Ottawa,4.60734,4632,1496,1478,10,0,0
5050002.01,CT,Ottawa,2.71663,2885,1174,1145,10,20,35
5050002.02,CT,Ottawa,1.52026,3470,1307,1284,0,20,30
5050002.04,CT,Ottawa,1.36697,1381,636,621,0,0,0
5050002.05,CT,Ottawa,1.36697,5116,2026,1943,0,20,20
5050002.06,CT,Ottawa,4.48828,2609,1046,1015,15,25,40
5050003.00,CT,Ottawa,3.41733,4617,2116,1982,25,65,90
5050004.00,CT,Ottawa,1.94789,3824,2074,1840,30,25,55
5050005.00,CT,Ottawa,2.25744,5876,2686,2522,55,70,130
5050006.00,CT,Ottawa,2.57261,4097,1591,1533,40,95,135
5050007.01,CT,Ottawa,0.83507,2230,1166,1101,15,30,45
5050007.02,CT,Ottawa,0.42172,4681,1909,1630,0,15,20
5050007.03,CT,Ottawa,1.21455,3731,1477,1442,15,25,40
5050008.00,CT,Ottawa,1.55436,4622,2155,2068,20,40,60
5050009.00,CT,Ottawa,1.02913,3271,1465,1407,15,80,90
5050010.00,CT,Ottawa,0.62556,3866,1817,1697,20,30,45
5050011.01,CT,Ottawa,7.83925,6948,3313,3040,20,25,45
5050011.03,CT,Ottawa,1.38046,4009,2540,2256,15,30,45
5050011.04,CT,Ottawa,2.03098,4607,1914,1776,40,70,110
5050012.00,CT,Ottawa,1.52279,4367,1695,1618,15,30,50
5050013.00,CT,Ottawa,1.60936,4922,2680,2463,75,120,195
5050014.00,CT,Ottawa,0.42748,1872,935,842,20,10,30
5050015.00,CT,Ottawa,1.20146,5190,3085,2544,115,165,285
5050016.00,CT,Ottawa,1.26838,4596,1878,1799,120,160,275
5050017.00,CT,Ottawa,1.04462,4042,1654,1502,135,185,325
5050018.00,CT,Ottawa,0.7856,4263,2096,1874,90,135,230
5050019.00,CT,Ottawa,1.26022,3966,1885,1710,125,145,265
5050020.01,CT,Ottawa,5.95529,5008,2868,2384,40,105,140
5050020.02,CT,Ottawa,1.82335,2888,1139,1050,0,45,50
5050021.00,CT,Ottawa,2.13981,6076,2915,2711,40,135,170
5050022.00,CT,Ottawa,1.76192,5562,2932,2626,10,70,70
5050023.01,CT,Ottawa,1.28555,5772,2853,2638,50,70,120
5050023.02,CT,Ottawa,0.91115,3888,1688,1615,20,50,70
5050024.00,CT,Ottawa,1.37142,3196,1343,1292,15,40,50
5050025.00,CT,Ottawa,2.48162,5514,2020,1942,15,70,80
5050026.00,CT,Ottawa,2.22009,5367,2281,2176,20,45,70
5050027.00,CT,Ottawa,0.74796,3856,1808,1723,10,10,25
5050028.00,CT,Ottawa,1.96953,6649,2792,2636,20,70,85
5050029.00,CT,Ottawa,1.85059,4932,2408,2253,20,10,25
5050030.00,CT,Ottawa,3.18613,6360,3767,3528,30,30,60
5050031.00,CT,Ottawa,2.12864,5349,3272,3129,10,10,20
5050032.01,CT,Ottawa,0.77878,3558,1857,1823,30,25,55
5050032.02,CT,Ottawa,2.98962,6015,2547,2479,50,90,140
5050033.01,CT,Ottawa,1.05759,5106,2198,2107,70,125,195
5050033.02,CT,Ottawa,1.01789,3198,1780,1618,40,55,100
5050034.00,CT,Ottawa,1.28109,3631,1371,1316,50,140,190
5050035.00,CT,Ottawa,0.78588,3956,2659,2297,115,120,230
5050036.00,CT,Ottawa,0.81585,3330,1465,1353,70,90,160
5050037.00,CT,Ottawa,0.57498,8283,6325,5621,135,190,330
5050038.00,CT,Ottawa,0.43316,5883,4381,3943,90,90,180
5050039.00,CT,Ottawa,0.40255,2604,1573,1389,95,110,210
5050040.00,CT,Ottawa,0.38167,3955,2556,2195,120,125,245
5050041.00,CT,Ottawa,0.57073,3991,2198,2000,120,110,225
5050042.00,CT,Ottawa,0.57754,3589,2308,1929,90,55,145
5050043.00,CT,Ottawa,0.73048,4432,2369,2212,110,110,220
5050044.00,CT,Ottawa,0.67904,2547,1007,994,45,80,120
5050045.00,CT,Ottawa,5.16773,8450,4474,4232,155,195,355
5050046.00,CT,Ottawa,1.2719,4850,3071,2860,105,85,190
5050047.00,CT,Ottawa,1.25779,620,478,401,10,15,20
5050048.00,CT,Ottawa,1.51498,4876,3956,3180,20,70,90
5050049.00,CT,Ottawa,0.32497,3098,2363,1947,65,75,140
5050050.00,CT,Ottawa,0.45317,1158,519,315,10,15,20
5050051.00,CT,Ottawa,0.59539,4384,3434,2363,70,125,190
5050052.00,CT,Ottawa,0.75475,4656,3128,2557,45,155,200
5050053.00,CT,Ottawa,0.40899,3972,3267,2588,45,55,95
5050054.00,CT,Ottawa,0.58508,3033,2217,1727,0,40,45
5050055.00,CT,Ottawa,0.96953,1959,1223,1086,30,15,45
5050056.00,CT,Ottawa,0.59401,3892,1986,1785,20,50,65
5050057.00,CT,Ottawa,0.31236,1817,762,709,40,55,95
5050058.00,CT,Ottawa,1.48433,3568,1851,1729,45,105,150
5050059.00,CT,Ottawa,2.5202,3375,1509,1464,40,50,90
5050060.00,CT,Ottawa,1.33925,4341,2695,2602,15,30,45
5050061.00,CT,Ottawa,1.36953,5304,2416,2306,15,65,80
5050062.01,CT,Ottawa,1.83494,5786,2660,2507,20,45,65
5050062.02,CT,Ottawa,5.87208,1686,759,719,0,10,10
5050100.00,CT,Ottawa,0.50195,2938,1820,1587,20,45,65
5050101.00,CT,Ottawa,0.84297,3001,1903,1721,20,50,65
5050102.00,CT,Ottawa,0.43114,3155,2012,1873,25,25,50
5050103.00,CT,Ottawa,0.83997,4519,2507,2225,40,80,115
5050104.00,CT,Ottawa,0.39168,2996,1962,1741,35,55,90
5050110.00,CT,Ottawa,1.85945,1932,785,674,20,25,35
5050120.01,CT,Ottawa,1.59313,1664,482,463,0,10,10
5050120.02,CT,Ottawa,6.44329,3933,1520,1502,10,15,30
5050120.03,CT,Ottawa,1.75964,5244,2085,2053,10,70,80
5050121.01,CT,Ottawa,1.16236,4358,1861,1803,20,25,45
5050121.02,CT,Ottawa,1.09555,2961,1442,1359,0,0,10
5050122.01,CT,Ottawa,0.89094,3721,1391,1238,10,15,20
5050122.02,CT,Ottawa,3.70988,6463,2498,2419,15,20,35
5050122.03,CT,Ottawa,2.4614,4811,2230,2136,10,25,35
5050123.01,CT,Ottawa,1.82343,5471,2136,2072,10,15,15
5050123.02,CT,Ottawa,4.37245,8719,3108,3017,10,45,50
5050124.01,CT,Ottawa,3.0784,3375,1285,1267,0,20,25
5050124.02,CT,Ottawa,2.05926,3976,1823,1782,0,10,10
5050124.03,CT,Ottawa,5.49778,4841,1866,1851,0,35,35
5050124.04,CT,Ottawa,0.94522,3081,1136,1130,0,15,15
5050125.01,CT,Ottawa,1.51235,4798,1802,1787,10,20,25
5050125.02,CT,Ottawa,0.9007,3369,1369,1327,10,0,15
5050125.03,CT,Ottawa,59.56795,527,210,205,0,0,0
5050125.04,CT,Ottawa,1.73285,3924,1355,1354,0,15,15
5050125.05,CT,Ottawa,1.98436,5229,1859,1844,0,10,15
5050125.06,CT,Ottawa,9.90514,10308,3486,3341,0,30,35
5050125.07,CT,Ottawa,1.66586,4369,1620,1590,0,20,20
5050125.08,CT,Ottawa,1.31035,4814,1833,1811,0,15,15
