,BikeDensity,Bike_Colour,Bike_Make,Bike_Model,Bike_Speed,Bike_Type,City,Cost_of_Bike,Division,GeoUID,Lat,Location_Type,Long,Neighbourhood,Occurrence_Date,Occurrence_Day,Occurrence_Month,Occurrence_Time,Occurrence_Year,Primary_Offence,Status,Week_day,Type,RegionName,Area(sqKm),Population,Dwellings,Households,PopulationCT,PopulationDensity,LandArea(skm),BicycleF,BicycleM,BicycleT
0,4.918032786885246,GRYBLU,DEVINCI        ,ST TROPEZ      ,12.0,RG,Toronto,600.0,55,5350001.0,43.6622162,"Open Areas (Lakes, Parks, Rivers)",-79.31507109999998,South Riverdale (70),2019-08-15,15.0,8.0,12:00,2019.0,THEFT UNDER - BICYCLE,STOLEN,Thursday,CT,Toronto,6.62211,595,274,247,595,97.6,6.1,10,25,30
1,4.918032786885246,RED   ,OTHER          ,LAKE SHORE     ,1.0,RG,Toronto,800.0,55,5350001.0,43.6591949,"Single Home, House (Attach Garage, Cottage, Mobile)",-79.33534240000002,South Riverdale (70),2019-08-25,25.0,8.0,19:00,2019.0,THEFT UNDER - BICYCLE,STOLEN,Sunday,CT,Toronto,6.62211,595,274,247,595,97.6,6.1,10,25,30
2,4.918032786885246,SIL   ,GI             ,TCX            ,22.0,RC,Toronto,800.0,55,5350001.0,43.6401825,Unknown,-79.33901209999998,South Riverdale (70),2019-07-03,3.0,7.0,06:15,2019.0,THEFT UNDER,STOLEN,Wednesday,CT,Toronto,6.62211,595,274,247,595,97.6,6.1,10,25,30
3,4.918032786885246,BLK   ,GI             ,TALON          ,30.0,MT,Toronto,500.0,55,5350001.0,43.6604958,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",-79.3292618,South Riverdale (70),2019-07-06,6.0,7.0,17:15,2019.0,THEFT UNDER,STOLEN,Saturday,CT,Toronto,6.62211,595,274,247,595,97.6,6.1,10,25,30
4,4.918032786885246,BLK   ,GI             ,,30.0,MT,Toronto,0.0,55,5350001.0,43.6604958,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",-79.3292618,South Riverdale (70),2019-07-06,6.0,7.0,17:15,2019.0,THEFT UNDER,STOLEN,Saturday,CT,Toronto,6.62211,595,274,247,595,97.6,6.1,10,25,30
5,4.918032786885246,BLK   ,SU             ,,7.0,MT,Toronto,200.0,55,5350001.0,43.6591797,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",-79.3286362,South Riverdale (70),2019-06-05,5.0,6.0,19:30,2019.0,THEFT UNDER,STOLEN,Wednesday,CT,Toronto,6.62211,595,274,247,595,97.6,6.1,10,25,30
6,4.918032786885246,RED   ,GI             ,,21.0,RC,Toronto,750.0,51,5350001.0,43.6430359,"Parking Lots (Apt., Commercial Or Non-Commercial)",-79.3508224,South Riverdale (70),2019-06-08,8.0,6.0,15:30,2019.0,THEFT UNDER,STOLEN,Saturday,CT,Toronto,6.62211,595,274,247,595,97.6,6.1,10,25,30
7,4.918032786885246,BLK   ,OT             ,PROJEKT 8      ,1.0,RG,Toronto,500.0,55,5350001.0,43.6575661,"Streets, Roads, Highways (Bicycle Path, Private Road)",-79.3426971,South Riverdale (70),2019-06-12,12.0,6.0,18:00,2019.0,THEFT UNDER,STOLEN,Wednesday,CT,Toronto,6.62211,595,274,247,595,97.6,6.1,10,25,30
8,4.918032786885246,DBL   ,NORCO          ,SCENE 2        ,8.0,MT,Toronto,942.36,55,5350001.0,43.66031270000001,"Open Areas (Lakes, Parks, Rivers)",-79.31261440000002,South Riverdale (70),2019-08-28,28.0,8.0,06:30,2019.0,THEFT UNDER,STOLEN,Wednesday,CT,Toronto,6.62211,595,274,247,595,97.6,6.1,10,25,30
9,4.918032786885246,BLU   ,TR             ,,8.0,RC,Toronto,1000.0,55,5350001.0,43.6591797,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",-79.3286362,South Riverdale (70),2019-09-30,30.0,9.0,17:30,2019.0,THEFT UNDER,STOLEN,Monday,CT,Toronto,6.62211,595,274,247,595,97.6,6.1,10,25,30
10,23.659305993690854,BLK   ,UK             ,,1.0,OT,Toronto,0.0,58,5350002.0,43.6209984,"Open Areas (Lakes, Parks, Rivers)",-79.3734283,Waterfront Communities-The Island (77),2019-08-04,4.0,8.0,17:00,2019.0,THEFT UNDER,STOLEN,Sunday,CT,Toronto,3.2947,620,279,270,620,195.4,3.17,30,45,75
11,21.978021978021978,RED   ,OT             ,LIBERO         ,21.0,RC,Toronto,500.0,11,5350003.0,43.6376534,"Streets, Roads, Highways (Bicycle Path, Private Road)",-79.4590988,South Parkdale (85),2019-06-17,17.0,6.0,17:00,2019.0,THEFT UNDER,STOLEN,Monday,CT,Toronto,0.94253,749,267,258,749,820.5,0.91,15,0,20
12,21.978021978021978,BLK   ,UK             ,CITY BIKE      ,3.0,RG,Toronto,1200.0,11,5350003.0,43.6376534,"Open Areas (Lakes, Parks, Rivers)",-79.4590988,South Parkdale (85),2019-06-30,30.0,6.0,17:30,2019.0,THEFT UNDER,STOLEN,Sunday,CT,Toronto,0.94253,749,267,258,749,820.5,0.91,15,0,20
13,21.978021978021978,BLK   ,UK             ,CITY BIKE      ,3.0,RG,Toronto,1200.0,11,5350003.0,43.6376534,"Open Areas (Lakes, Parks, Rivers)",-79.4590988,South Parkdale (85),2019-06-30,30.0,6.0,17:30,2019.0,THEFT UNDER,STOLEN,Sunday,CT,Toronto,0.94253,749,267,258,749,820.5,0.91,15,0,20
14,1132.3529411764705,TRQ   ,SPECIALIZED    ,HARDROCK       ,18.0,MT,Toronto,200.0,14,5350004.0,43.6338959,"Parking Lots (Apt., Commercial Or Non-Commercial)",-79.4349823,South Parkdale (85),2019-06-05,5.0,6.0,12:00,2019.0,THEFT UNDER - BICYCLE,STOLEN,Wednesday,CT,Toronto,0.34347,6686,3609,3455,6686,19453.0,0.34,160,225,385
15,1132.3529411764705,RED   ,CCM            ,VANDAL         ,18.0,MT,Toronto,,14,5350004.0,43.6338959,"Parking Lots (Apt., Commercial Or Non-Commercial)",-79.4349823,South Parkdale (85),2019-05-01,1.0,5.0,20:30,2019.0,THEFT UNDER,STOLEN,Wednesday,CT,Toronto,0.34347,6686,3609,3455,6686,19453.0,0.34,160,225,385
16,1132.3529411764705,BLK   ,TREK           ,,0.0,MT,Toronto,,14,5350004.0,43.6390533,"Apartment (Rooming House, Condo)",-79.4396973,South Parkdale (85),2019-10-07,7.0,10.0,10:43,2019.0,PROPERTY - FOUND,UNKNOWN,Monday,CT,Toronto,0.34347,6686,3609,3455,6686,19453.0,0.34,160,225,385
17,1132.3529411764705,BLU   ,UK             ,C3             ,12.0,RC,Toronto,3000.0,14,5350004.0,43.6376076,"Apartment (Rooming House, Condo)",-79.4438553,South Parkdale (85),2019-03-28,28.0,3.0,12:20,2019.0,THEFT UNDER - BICYCLE,STOLEN,Thursday,CT,Toronto,0.34347,6686,3609,3455,6686,19453.0,0.34,160,225,385
