GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_5: 0 to 14 years,v_CA16_4: 0 to 14 years,v_CA16_6: 0 to 14 years,v_CA16_62: 15 to 64 years,v_CA16_61: 15 to 64 years,v_CA16_63: 15 to 64 years,v_CA16_245: 65 years and over,v_CA16_244: 65 years and over,v_CA16_246: 65 years and over,v_CA16_380: Average age,v_CA16_379: Average age,v_CA16_381: Average age,v_CA16_386: 0 to 14 years,v_CA16_385: 0 to 14 years,v_CA16_387: 0 to 14 years,v_CA16_389: 15 to 64 years,v_CA16_388: 15 to 64 years,v_CA16_390: 15 to 64 years,v_CA16_392: 65 years and over,v_CA16_391: 65 years and over,v_CA16_393: 65 years and over,v_CA16_395: 85 years and over,v_CA16_394: 85 years and over,v_CA16_396: 85 years and over,v_CA16_407: Land area in square kilometres,v_CA16_406: Population density per square kilometre,"v_CA16_401: Population, 2016",v_CA16_418: Private households by household size,v_CA16_424: Number of persons in private households,v_CA16_425: Average household size,v_CA16_478: Total - Census families in private households by family size - 100% data,v_CA16_483: Average size of census families,v_CA16_485: Total couple families,v_CA16_488: Total lone-parent families by sex of parent,v_CA16_491: Total - Couple census families in private households - 100% data,v_CA16_497: Total - Lone-parent census families in private households - 100% data,v_CA16_502: Total - Persons not in census families in private households - 100% data,v_CA16_501: Total - Persons not in census families in private households - 100% data,v_CA16_503: Total - Persons not in census families in private households - 100% data,v_CA16_505: One-census-family households,v_CA16_508: Multiple-census-family households,v_CA16_509: Non-census-family households,v_CA16_504: Total - Private households by household type - 100% data,v_CA16_2201: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2246: Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2297: Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2348: Without employment income,v_CA16_2351: With employment income,v_CA16_2396: Total - Income statistics in 2015 for private households by household size - 100% data,v_CA16_2400: Median total income of one-person households in 2015 ($),v_CA16_2401: Median after-tax income of one-person households in 2015 ($),v_CA16_2403: Median total income of two-or-more-person households in 2015 ($),v_CA16_2404: Median after-tax income of two-or-more-person households in 2015 ($),"v_CA16_2406: Under $5,000","v_CA16_2407: $5,000 to $9,999","v_CA16_2408: $10,000 to $14,999","v_CA16_2409: $15,000 to $19,999","v_CA16_2410: $20,000 to $24,999","v_CA16_2411: $25,000 to $29,999","v_CA16_2412: $30,000 to $34,999","v_CA16_2413: $35,000 to $39,999","v_CA16_2414: $40,000 to $44,999","v_CA16_2415: $45,000 to $49,999","v_CA16_2416: $50,000 to $59,999","v_CA16_2417: $60,000 to $69,999","v_CA16_2418: $70,000 to $79,999","v_CA16_2419: $80,000 to $89,999","v_CA16_2420: $90,000 to $99,999",v_CA16_2447: Median total income of economic families in 2015 ($),v_CA16_2449: Average family size of economic families,v_CA16_2451: Median total income of couple economic families without children or other relatives in 2015 ($),v_CA16_2453: Average family size of couple economic families without children or other relatives,v_CA16_2455: Median total income of couple economic families with children in 2015 ($),v_CA16_2457: Average family size of couple economic families with children,v_CA16_2459: Median total income of lone-parent economic families in 2015 ($),v_CA16_2461: Average family size of lone-parent economic families,v_CA16_2465: Median total income in 2015 for persons aged 15 years and over not in economic families ($),v_CA16_2510: Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,"v_CA16_2525: In low income based on the Low-income measure, after tax (LIM-AT)","v_CA16_2540: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA16_2555: In low income based on the Low-income cut-offs, after tax (LICO-AT)","v_CA16_2570: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)"
5350001.00,CT,Toronto,6.62211,595,274,247,40,80,40,250,460,210,20,55,30,39.3,39.3,39.3,11.3,13.4,15.8,80.6,78.2,73.7,6.5,9.2,10.5,0.0,0.8,1.8,6.10,97.6,595,245,595,2.4,175,2.7,150,25,150,25,65,115,50,170,5,75,245,510,510,510,95,415,245,46720,40576,122368,103936,5,10,5,10,5,5,5,5,0,5,10,15,10,15,5,116608,2.8,129152,2.0,130304,3.8,67328,2.6,37760,595,80,13.4,90,15.1
5350002.00,CT,Toronto,3.2947,620,279,270,35,55,25,190,390,195,80,180,95,46.8,48.7,50.5,9.8,8.9,7.8,62.3,62.1,60.9,26.2,29.0,29.7,3.3,3.2,3.1,3.17,195.4,620,270,590,2.2,185,2.6,150,35,150,30,45,115,75,180,0,85,270,530,530,530,150,380,270,41856,37696,97408,84634,5,5,5,10,15,10,5,10,15,5,15,20,25,10,20,94720,2.6,93696,2.1,129792,3.5,64896,2.3,39040,585,70,12.0,55,9.4
5350003.00,CT,Toronto,0.94253,749,267,258,20,40,20,280,515,235,75,195,125,47.2,49.8,52.3,5.4,5.3,5.3,74.3,68.0,63.2,18.9,26.7,31.6,5.4,12.0,17.1,0.91,820.5,749,260,465,1.8,130,2.4,110,20,110,20,75,150,80,120,5,130,260,425,430,430,90,335,260,74368,57984,99072,85120,15,0,5,5,5,10,5,10,5,10,15,15,25,20,20,104320,2.5,106752,2.0,116992,3.6,0,2.2,61952,465,65,14.0,60,12.9
5350004.00,CT,Toronto,0.34347,6686,3609,3455,340,655,315,2680,5275,2590,375,760,380,40.4,40.0,39.7,10.0,9.8,9.6,78.9,78.8,78.7,11.0,11.4,11.7,0.9,1.4,2.1,0.34,19453.0,6686,3455,6340,1.8,1325,2.7,1010,310,1015,310,1460,2770,1305,1275,25,2160,3455,5705,5700,5700,1690,4010,3455,23520,22677,53696,50080,140,125,300,355,260,230,210,235,220,180,290,205,140,135,85,53547,2.8,55782,2.0,67328,3.8,35328,2.5,22176,6335,2210,34.9,1965,31.0
5350005.00,CT,Toronto,0.37612,6424,3729,3424,325,605,285,2480,5045,2570,290,770,480,38.0,39.1,40.2,10.5,9.4,8.4,80.3,78.7,77.1,9.4,11.9,14.4,0.8,1.4,1.9,0.38,17076.0,6424,3420,6100,1.8,1355,2.6,980,375,980,375,1285,2640,1355,1305,25,2090,3425,5530,5530,5525,1435,4090,3425,24768,23386,70059,62816,85,130,265,360,200,160,155,140,145,150,250,235,205,170,145,72294,2.6,88320,2.0,87296,3.8,42432,2.6,25984,6100,1745,28.6,1615,26.5
5350006.00,CT,Toronto,0.01288,0,0,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.01,0.0,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
5350007.01,CT,Toronto,0.19931,3237,1827,1747,175,340,165,1340,2580,1245,150,310,160,39.8,39.2,38.5,10.5,10.5,10.5,80.2,79.9,79.3,9.0,9.6,10.2,0.6,0.8,1.3,0.20,16233.7,3237,1750,3160,1.8,685,2.7,535,150,540,155,740,1340,600,665,10,1070,1750,2820,2820,2820,635,2180,1750,29670,27691,62784,57120,55,55,115,125,115,120,125,115,95,95,160,120,80,75,55,61653,2.7,66048,2.0,78592,3.8,38528,2.5,28078,3160,820,25.9,735,23.3
5350007.02,CT,Toronto,0.43657,4753,2653,2506,245,475,230,1970,3775,1805,215,500,290,38.3,39.0,39.8,10.1,10.0,9.9,81.1,79.5,77.8,8.8,10.6,12.5,0.8,1.3,1.7,0.44,10891.4,4753,2505,4590,1.8,1000,2.7,725,280,720,280,1045,1905,855,970,15,1520,2505,4115,4110,4110,1175,2935,2505,26432,24789,54741,51273,90,95,175,230,180,185,160,160,150,145,210,185,150,95,85,53683,2.7,55424,2.0,65254,3.9,41472,2.5,24992,4585,1450,31.6,1230,26.8
5350008.01,CT,Toronto,0.29723,7503,5192,4954,170,295,130,3530,7095,3565,55,115,60,32.9,32.6,32.3,4.4,3.9,3.5,94.0,94.6,94.9,1.5,1.5,1.5,0.0,0.1,0.1,0.30,25262.6,7503,4955,7500,1.5,1710,2.2,1625,90,1625,85,1840,3760,1920,1705,0,3245,4955,7200,7205,7205,455,6750,4955,68770,56084,112064,93312,115,80,80,100,105,110,115,130,130,160,380,410,425,405,365,116480,2.2,120448,2.0,130048,3.3,59392,2.3,63696,7500,735,9.8,725,9.7
5350008.02,CT,Toronto,1.83937,9942,6390,6060,330,655,320,4320,8840,4520,210,450,245,34.6,34.9,35.2,6.7,6.5,6.4,89.0,88.9,88.9,4.3,4.6,4.8,0.0,0.3,0.4,1.86,5345.7,9942,6060,9880,1.6,2285,2.3,1955,325,1955,330,2205,4525,2320,2235,25,3805,6060,9235,9235,9235,1200,8035,6060,60021,50225,97003,83153,205,140,180,195,200,190,175,165,215,235,470,535,460,430,340,102080,2.4,113664,2.0,102784,3.5,46848,2.4,53504,9885,1665,16.8,1575,15.9
