,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_5: 0 to 14 years,v_CA16_4: 0 to 14 years,v_CA16_6: 0 to 14 years,v_CA16_62: 15 to 64 years,v_CA16_61: 15 to 64 years,v_CA16_63: 15 to 64 years,v_CA16_245: 65 years and over,v_CA16_244: 65 years and over,v_CA16_246: 65 years and over,v_CA16_380: Average age,v_CA16_379: Average age,v_CA16_381: Average age,v_CA16_386: 0 to 14 years,v_CA16_385: 0 to 14 years,v_CA16_387: 0 to 14 years,v_CA16_389: 15 to 64 years,v_CA16_388: 15 to 64 years,v_CA16_390: 15 to 64 years,v_CA16_392: 65 years and over,v_CA16_391: 65 years and over,v_CA16_393: 65 years and over,v_CA16_395: 85 years and over
0,30,5350001.0,CT,Toronto,6.62211,595,274,247,40,80,40,250,460,210,20,55,30,39.3,39.3,39.3,11.3,13.4,15.8,80.6,78.2,73.7,6.5,9.2,10.5,0
1,75,5350002.0,CT,Toronto,3.2947,620,279,270,35,55,25,190,390,195,80,180,95,46.8,48.7,50.5,9.8,8.9,7.8,62.3,62.1,60.9,26.2,29,29.7,3.3
2,20,5350003.0,CT,Toronto,0.94253,749,267,258,20,40,20,280,515,235,75,195,125,47.2,49.8,52.3,5.4,5.3,5.3,74.3,68,63.2,18.9,26.7,31.6,5.4
3,385,5350004.0,CT,Toronto,0.34347,6686,3609,3455,340,655,315,2680,5275,2590,375,760,380,40.4,40,39.7,10,9.8,9.6,78.9,78.8,78.7,11,11.4,11.7,0.9
4,320,5350005.0,CT,Toronto,0.37611999999999995,6424,3729,3424,325,605,285,2480,5045,2570,290,770,480,38,39.1,40.2,10.5,9.4,8.4,80.3,78.7,77.1,9.4,11.9,14.4,0.8
5,x,5350006.0,CT,Toronto,0.01288,0,0,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
6,185,5350007.01,CT,Toronto,0.19931,3237,1827,1747,175,340,165,1340,2580,1245,150,310,160,39.8,39.2,38.5,10.5,10.5,10.5,80.2,79.9,79.3,9,9.6,10.2,0.6
7,235,5350007.02,CT,Toronto,0.43656999999999996,4753,2653,2506,245,475,230,1970,3775,1805,215,500,290,38.3,39,39.8,10.1,10,9.9,81.1,79.5,77.8,8.8,10.6,12.5,0.8
8,325,5350008.01,CT,Toronto,0.29723,7503,5192,4954,170,295,130,3530,7095,3565,55,115,60,32.9,32.6,32.3,4.4,3.9,3.5,94,94.6,94.9,1.5,1.5,1.5,0
9,400,5350008.02,CT,Toronto,1.8393700000000002,9942,6390,6060,330,655,320,4320,8840,4520,210,450,245,34.6,34.9,35.2,6.7,6.5,6.4,89,88.9,88.9,4.3,4.6,4.8,0
10,10,5350009.0,CT,Toronto,0.10317,567,169,166,10,30,20,300,470,170,35,65,30,40.8,41.1,41.6,4.3,5.3,6.8,85.5,83.3,79.5,10.1,11.4,13.6,0
11,225,5350010.01,CT,Toronto,0.26263000000000003,5428,3281,3147,240,500,265,2210,4645,2435,135,280,145,36,35.9,35.8,9.1,9.3,9.1,85.7,85.6,85.6,5,5.2,5.1,0.2
12,370,5350010.02,CT,Toronto,0.54735,7740,4628,4447,285,575,290,3330,6570,3240,260,600,340,38.6,38.5,38.4,7.4,7.4,7.5,86,84.8,83.7,6.6,7.7,8.9,0.4
13,450,5350011.0,CT,Toronto,0.9803700000000001,17549,15207,11891,260,495,235,8520,16545,8025,275,510,240,34.3,33.8,33.3,2.9,2.8,2.7,94.1,94.2,94.4,3,2.9,2.8,0.1
14,380,5350012.01,CT,Toronto,0.41877,11658,7449,6881,370,790,420,5270,10465,5200,180,405,225,32.3,32.2,32,6.4,6.7,7.1,90.5,89.8,89,3.1,3.4,3.9,0.3
15,140,5350012.03,CT,Toronto,0.46643,8865,5997,5311,230,460,225,4320,8125,3805,145,285,140,33,32.9,32.8,4.9,5.2,5.5,92,91.6,91.1,3.1,3.2,3.4,0.1
16,90,5350012.04,CT,Toronto,0.233,4899,3258,2956,135,260,130,2135,4200,2065,195,440,240,37.8,38.3,38.9,5.5,5.4,5.3,86.6,85.7,84.8,8.1,8.9,9.9,0.2
17,40,5350013.01,CT,Toronto,0.34314,6290,4499,4059,140,290,150,2775,5350,2575,240,650,415,37.1,38.4,39.7,4.4,4.6,4.8,88,85.1,82,7.4,10.4,13.2,0.6
18,65,5350013.02,CT,Toronto,0.41796000000000005,8126,5270,4725,295,575,280,3285,6455,3175,515,1100,580,40.3,40.8,41.4,7.1,7,6.8,80.2,79.4,78.7,12.6,13.5,14.4,1.3
19,10,5350014.0,CT,Toronto,0.47266,1242,975,691,35,80,45,560,1040,475,65,120,60,41,40.1,39.2,5.3,6.5,7.8,85.6,83.9,81.9,9.1,9.7,10.3,0
20,25,5350015.0,CT,Toronto,0.28599,3663,2451,2226,100,195,95,1450,2915,1470,255,550,290,42.6,42.6,42.7,5.8,5.3,5.4,80.1,79.7,79,14.1,15,15.6,1.1
21,350,5350016.0,CT,Toronto,0.65971,10101,6527,6180,345,645,305,4530,8800,4270,320,655,335,37.7,37.5,37.2,6.6,6.4,6.1,87.4,87.1,87,6.2,6.5,6.9,0.4
22,330,5350017.0,CT,Toronto,1.37531,7906,5250,4663,370,735,370,2940,6105,3165,410,1065,655,40.1,41.4,42.6,10,9.2,8.7,79,77.3,75.7,11,13.5,15.6,0.7
23,135,5350018.0,CT,Toronto,0.35178000000000004,2456,1319,1248,180,335,155,980,1950,970,90,170,85,38.1,37.6,37.1,14,13.4,12.4,78.4,79.3,80.5,7.6,6.9,7.1,0.4
24,120,5350019.0,CT,Toronto,0.24894000000000002,3258,1410,1365,240,460,220,1130,2280,1155,250,520,270,41,41.9,42.8,14.6,14.1,13.4,69.7,70,70.2,15.5,15.8,16.4,2.8
25,35,5350020.0,CT,Toronto,0.7386199999999999,2390,1028,1014,220,455,235,710,1535,825,175,405,225,41.6,42.3,42.8,20.4,19,18.3,64.3,64.2,64.2,15.8,16.9,17.5,1.8
26,180,5350021.0,CT,Toronto,0.8680700000000001,5199,2830,2661,360,705,340,1670,3670,2005,370,820,450,42.2,42.7,43.1,15,13.6,12.2,69.2,70.7,71.7,15.4,15.8,15.9,1
27,85,5350022.0,CT,Toronto,0.55462,3883,1577,1504,420,790,370,1300,2655,1360,200,435,235,37.6,38.5,39.4,21.9,20.4,18.8,67.6,68.6,69.5,10.4,11.2,12,0.8
28,55,5350023.0,CT,Toronto,0.68635,3208,1355,1286,275,565,290,1035,2180,1145,215,470,255,40.4,40.8,41.1,18,17.6,17,67.5,67.8,68.2,14.1,14.6,15.2,1
29,215,5350024.0,CT,Toronto,0.70927,6887,3136,2963,655,1305,650,2255,4755,2500,375,825,455,38.1,38.9,39.7,19.9,19,18.1,68.8,68.9,69.3,11.4,12,12.5,0.8
30,105,5350025.0,CT,Toronto,0.5284300000000001,3456,1659,1610,315,560,250,1250,2555,1305,160,340,180,38.8,39.7,40.7,18,16.2,14.4,72.5,74,75.2,9.3,9.7,10.4,0.3
