,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_394: 85 years and over,v_CA16_396: 85 years and over,v_CA16_407: Land area in square kilometres,v_CA16_406: Population density per square kilometre,"v_CA16_401: Population, 2016",v_CA16_418: Private households by household size,v_CA16_424: Number of persons in private households,v_CA16_425: Average household size,v_CA16_478: Total - Census families in private households by family size - 100% data,v_CA16_483: Average size of census families,v_CA16_485: Total couple families
0,30,5350001.0,CT,Toronto,6.62211,595,274,247,0.8,1.8,6.1,97.6,595,245,595,2.4,175,2.7,150
1,75,5350002.0,CT,Toronto,3.2947,620,279,270,3.2,3.1,3.17,195.4,620,270,590,2.2,185,2.6,150
2,20,5350003.0,CT,Toronto,0.94253,749,267,258,12,17.1,0.91,820.5,749,260,465,1.8,130,2.4,110
3,385,5350004.0,CT,Toronto,0.34347,6686,3609,3455,1.4,2.1,0.34,19453.0,6686,3455,6340,1.8,1325,2.7,1010
4,320,5350005.0,CT,Toronto,0.37611999999999995,6424,3729,3424,1.4,1.9,0.38,17076.0,6424,3420,6100,1.8,1355,2.6,980
5,x,5350006.0,CT,Toronto,0.01288,0,0,0,x,x,0.01,0.0,0,x,x,x,x,x,x
6,185,5350007.01,CT,Toronto,0.19931,3237,1827,1747,0.8,1.3,0.2,16233.7,3237,1750,3160,1.8,685,2.7,535
7,235,5350007.02,CT,Toronto,0.43656999999999996,4753,2653,2506,1.3,1.7,0.44,10891.4,4753,2505,4590,1.8,1000,2.7,725
8,325,5350008.01,CT,Toronto,0.29723,7503,5192,4954,0.1,0.1,0.3,25262.6,7503,4955,7500,1.5,1710,2.2,1625
9,400,5350008.02,CT,Toronto,1.8393700000000002,9942,6390,6060,0.3,0.4,1.86,5345.7,9942,6060,9880,1.6,2285,2.3,1955
10,10,5350009.0,CT,Toronto,0.10317,567,169,166,0.9,0,0.1,5499.5,567,165,290,1.8,60,2.5,35
11,225,5350010.01,CT,Toronto,0.26263000000000003,5428,3281,3147,0.3,0.2,0.26,20670.2,5428,3150,5365,1.7,1350,2.4,1135
12,370,5350010.02,CT,Toronto,0.54735,7740,4628,4447,0.5,0.6,0.55,14144.7,7740,4450,7400,1.7,1710,2.4,1480
13,450,5350011.0,CT,Toronto,0.9803700000000001,17549,15207,11891,0.1,0.2,0.98,17903.5,17549,11890,17420,1.5,3395,2.2,3185
14,380,5350012.01,CT,Toronto,0.41877,11658,7449,6881,0.2,0.3,0.42,27843.3,11658,6880,11630,1.7,2415,2.4,2060
15,140,5350012.03,CT,Toronto,0.46643,8865,5997,5311,0.1,0.1,0.47,19003.2,8865,5310,8860,1.7,1920,2.3,1750
16,90,5350012.04,CT,Toronto,0.233,4899,3258,2956,0.6,0.8,0.23,21272.3,4899,2955,4875,1.6,1155,2.3,1040
17,40,5350013.01,CT,Toronto,0.34314,6290,4499,4059,1.1,1.8,0.34,18332.8,6290,4060,6265,1.5,1400,2.3,1245
18,65,5350013.02,CT,Toronto,0.41796000000000005,8126,5270,4725,1.4,1.6,0.42,19449.5,8126,4725,8105,1.7,2080,2.4,1900
19,10,5350014.0,CT,Toronto,0.47266,1242,975,691,0.4,0,0.47,2628.0,1242,690,1195,1.7,310,2.4,270
20,25,5350015.0,CT,Toronto,0.28599,3663,2451,2226,1.4,1.6,0.29,12807.7,3663,2225,3595,1.6,890,2.3,775
21,350,5350016.0,CT,Toronto,0.65971,10101,6527,6180,0.3,0.3,0.65,15430.8,10101,6180,9715,1.6,2270,2.3,2035
22,330,5350017.0,CT,Toronto,1.37531,7906,5250,4663,0.9,1.2,1.34,5889.5,7906,4660,7875,1.7,1865,2.5,1395
23,135,5350018.0,CT,Toronto,0.35178000000000004,2456,1319,1248,0.4,0,0.35,7081.9,2456,1245,2335,1.9,590,2.5,505
24,120,5350019.0,CT,Toronto,0.24894000000000002,3258,1410,1365,4.5,5.8,0.25,13089.6,3258,1365,3035,2.2,810,2.8,595
25,35,5350020.0,CT,Toronto,0.7386199999999999,2390,1028,1014,1.5,1.2,0.74,3236.3,2390,1015,2385,2.4,700,2.9,615
26,180,5350021.0,CT,Toronto,0.8680700000000001,5199,2830,2661,1.1,1.3,0.87,5977.9,5199,2660,5195,2,1350,2.7,1125
27,85,5350022.0,CT,Toronto,0.55462,3883,1577,1504,0.9,1,0.55,6998.9,3883,1505,3865,2.6,1090,3.1,935
28,55,5350023.0,CT,Toronto,0.68635,3208,1355,1286,1.2,1.5,0.69,4673.7,3208,1285,3200,2.5,905,3,790
29,215,5350024.0,CT,Toronto,0.70927,6887,3136,2963,1.5,1.9,0.71,9713.7,6887,2965,6790,2.3,1890,2.9,1575
30,105,5350025.0,CT,Toronto,0.5284300000000001,3456,1659,1610,0.9,1.7,0.53,6540.5,3456,1610,3405,2.1,940,2.7,755
31,250,5350026.0,CT,Toronto,0.7771899999999999,6486,2894,2695,1.1,1.2,0.78,8344.3,6486,2695,6470,2.4,1765,2.9,1390
32,165,5350027.0,CT,Toronto,0.48531,4390,1818,1724,2.7,3.8,0.49,9046.0,4390,1725,4305,2.5,1170,2.9,925
33,50,5350028.01,CT,Toronto,0.20715999999999998,1387,728,684,0.4,0,0.21,6690.8,1387,680,1350,2,375,2.6,325
34,240,5350028.02,CT,Toronto,0.46335,6198,3007,2836,1.9,1.9,0.46,13383.7,6198,2835,5965,2.1,1585,2.7,1350
35,325,5350029.0,CT,Toronto,0.6866899999999999,6987,3099,2962,1.4,1.7,0.67,10354.2,6987,2965,6870,2.3,1820,2.8,1445
36,190,5350030.0,CT,Toronto,0.38708000000000004,4529,2319,2195,0.4,0.5,0.38,11893.4,4529,2195,4405,2,1030,2.8,770
37,110,5350031.0,CT,Toronto,0.26375,6274,2864,2765,0.5,0.6,0.26,24270.8,6274,2765,6265,2.3,1430,3.2,970
38,225,5350032.0,CT,Toronto,0.4197,5363,2976,2641,1.4,2.4,0.42,12781.2,5363,2640,4185,1.6,750,2.5,560
39,115,5350033.0,CT,Toronto,0.31956999999999997,5042,3010,2733,0.6,1,0.32,15780.9,5042,2735,4550,1.7,845,2.7,545
40,70,5350034.01,CT,Toronto,0.12455,4554,2884,2268,0.8,0.7,0.12,36578.3,4554,2265,3980,1.8,770,2.4,675
41,95,5350034.02,CT,Toronto,0.39824,5147,3409,3055,0.4,0.4,0.4,12922.4,5147,3055,4935,1.6,975,2.4,785
42,120,5350035.0,CT,Toronto,0.66273,9876,6772,5707,0.6,0.8,0.66,14900.4,9876,5705,9835,1.7,1870,2.5,1530
43,210,5350036.0,CT,Toronto,0.38343,5487,3641,3272,2.3,2.6,0.38,14311.4,5487,3275,5460,1.7,1055,2.4,880
44,290,5350037.0,CT,Toronto,0.45102,4494,2463,2116,3.3,4.4,0.45,9957.9,4494,2115,4305,2,705,2.6,540
45,275,5350038.0,CT,Toronto,0.36616,3772,1820,1638,2.4,2.6,0.37,10303.2,3772,1640,3605,2.2,690,2.6,535
46,165,5350039.0,CT,Toronto,0.31773,4192,1821,1709,2.7,3.2,0.32,13186.5,4192,1710,4090,2.4,930,2.9,565
47,305,5350040.0,CT,Toronto,0.36873,4568,1961,1788,1.8,2.4,0.37,12396.2,4568,1790,4545,2.5,1130,2.7,905
48,310,5350041.0,CT,Toronto,0.31711999999999996,3453,1588,1453,1.9,2.6,0.32,10889.3,3453,1455,3425,2.4,830,2.7,680
49,450,5350042.0,CT,Toronto,0.48994,4570,2150,1965,2.1,2.7,0.49,9328.4,4570,1965,4490,2.3,1105,2.7,915
50,315,5350043.0,CT,Toronto,0.55392,3965,1863,1704,2.3,2.8,0.55,7158.3,3965,1705,3765,2.2,980,2.6,840
51,740,5350044.0,CT,Toronto,0.49063999999999997,8825,5124,4629,1.6,2,0.49,17988.2,8825,4630,8540,1.8,1845,2.5,1615
52,290,5350045.0,CT,Toronto,0.29514,3453,1567,1468,1.9,1.8,0.3,11693.2,3453,1465,3235,2.2,820,2.6,660
53,230,5350046.0,CT,Toronto,0.42036,3281,1404,1330,1.4,1.8,0.42,7808.2,3281,1330,3275,2.5,895,2.8,670
54,215,5350047.02,CT,Toronto,0.28694000000000003,3791,2083,1947,1.3,1.7,0.29,13209.1,3791,1945,3775,1.9,820,2.8,640
55,85,5350047.03,CT,Toronto,0.11809000000000001,703,376,361,0,1.5,0.12,5952.6,703,360,700,1.9,175,2.6,150
56,215,5350047.04,CT,Toronto,0.27379000000000003,2846,1253,1180,1.1,1.4,0.27,10394.4,2846,1180,2825,2.4,735,2.9,615
57,265,5350048.0,CT,Toronto,0.3349,3557,1660,1560,1.5,1.9,0.34,10617.9,3557,1560,3505,2.2,890,2.9,770
58,230,5350049.0,CT,Toronto,0.46479,3663,1506,1426,9.1,12.9,0.46,7879.1,3663,1425,3190,2.2,835,2.8,710
59,140,5350050.01,CT,Toronto,1.46504,8746,4553,4336,2.2,2.3,1.28,6816.8,8746,4340,8740,2,2425,2.7,2110
60,10,5350050.03,CT,Toronto,1.92412,1109,606,590,1.8,1.7,1.7,653.2,1109,590,1110,1.9,310,2.5,280
61,105,5350050.04,CT,Toronto,0.77861,5008,2291,2212,2,2.8,0.76,6589.5,5008,2210,5005,2.3,1340,3,1035
62,325,5350051.0,CT,Toronto,0.69119,5399,2570,2313,2,2.9,0.69,7807.7,5399,2315,5305,2.3,1370,2.9,1190
63,295,5350052.0,CT,Toronto,0.50129,4077,1933,1839,1.2,1.6,0.5,8134.5,4077,1840,4060,2.2,1065,2.8,900
64,355,5350053.0,CT,Toronto,0.6831699999999999,5982,2840,2712,1.4,1.5,0.68,8755.9,5982,2710,5975,2.2,1550,2.7,1300
65,420,5350054.0,CT,Toronto,0.70239,5803,2975,2724,1.6,2,0.7,8261.7,5803,2725,5735,2.1,1385,2.7,1145
66,320,5350055.0,CT,Toronto,0.27636,2763,1403,1320,1.6,2.5,0.28,10000.0,2763,1320,2760,2.1,635,2.7,540
67,495,5350056.0,CT,Toronto,0.50948,4772,2170,2018,2.1,2.2,0.51,9367.9,4772,2020,4765,2.4,1145,2.7,950
68,210,5350057.0,CT,Toronto,0.26644,2311,1226,1108,1.7,2.1,0.27,8674.9,2311,1105,2290,2.1,510,2.6,430
69,445,5350058.0,CT,Toronto,0.38414,3980,2063,1888,2.6,3,0.38,10351.1,3980,1885,3950,2.1,915,2.6,795
70,390,5350059.0,CT,Toronto,0.36663,3837,1621,1447,6.6,8.9,0.37,10466.4,3837,1450,3225,2.2,710,2.6,595
71,150,5350060.0,CT,Toronto,0.27159,2685,1669,1471,0.9,1.2,0.27,9885.9,2685,1470,2685,1.8,560,2.5,480
72,15,5350061.0,CT,Toronto,0.76722,1085,536,475,2.3,2.7,0.77,1414.2,1085,475,765,1.6,135,2.5,115
73,90,5350062.01,CT,Toronto,0.10685,5595,3852,3302,2.6,3.3,0.11,52387.6,5595,3305,5585,1.7,1265,2.4,1120
74,105,5350062.02,CT,Toronto,0.58534,9084,6837,5374,1.4,1.3,0.59,15520.2,9084,5375,8990,1.7,1655,2.4,1385
75,135,5350063.03,CT,Toronto,0.09337999999999999,5104,3640,3405,0.7,0.8,0.09,54646.7,5104,3405,5085,1.5,1015,2.2,900
76,115,5350063.04,CT,Toronto,0.14093,3370,2409,2264,1.3,2.2,0.14,23917.7,3370,2260,3265,1.4,575,2.3,495
77,120,5350063.05,CT,Toronto,0.12992,4331,3429,2943,0.3,0.2,0.13,33315.4,4331,2940,4325,1.5,815,2.2,715
78,130,5350063.06,CT,Toronto,0.19221,5171,3761,3519,1,1.2,0.19,26890.3,5171,3520,5135,1.5,875,2.3,795
79,175,5350064.0,CT,Toronto,0.19472,4311,2898,2683,2.1,3.9,0.19,22130.4,4311,2685,4125,1.5,845,2.2,765
80,70,5350065.01,CT,Toronto,0.08613,2483,1496,1394,0.8,0.9,0.09,28872.1,2483,1390,2420,1.7,460,2.5,400
81,230,5350065.02,CT,Toronto,0.14340999999999998,11821,5715,5481,0.9,1.3,0.14,82433.8,11821,5485,11815,2.2,2650,3,1850
82,325,5350066.0,CT,Toronto,0.32848,7608,4597,4425,3.2,4.8,0.33,23166.9,7608,4425,6960,1.6,1430,2.3,1215
83,125,5350067.0,CT,Toronto,0.6634399999999999,1694,868,814,1.5,1.9,0.65,2600.6,1694,810,1695,2.1,495,2.6,450
84,260,5350068.0,CT,Toronto,0.43058,2367,1296,1203,1.7,2.2,0.42,5655.9,2367,1200,2335,1.9,665,2.5,550
85,305,5350069.0,CT,Toronto,0.8727299999999999,4923,2011,1894,1,1,0.86,5734.4,4923,1890,4880,2.6,1365,2.9,1160
86,125,5350070.0,CT,Toronto,0.44642,3512,1774,1712,1.6,1.9,0.44,7980.0,3512,1715,3325,1.9,810,2.8,705
87,185,5350071.0,CT,Toronto,0.46398,3481,1521,1402,1,1.1,0.46,7498.9,3481,1405,3470,2.5,965,3,785
88,160,5350072.01,CT,Toronto,0.40518000000000004,4586,1949,1864,1.5,1.9,0.41,11315.1,4586,1865,4575,2.5,1235,3,840
89,145,5350072.02,CT,Toronto,0.5369,3141,1320,1261,1.4,1.6,0.54,5850.3,3141,1265,3115,2.5,865,2.9,725
