,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_488: Total lone-parent families by sex of parent,v_CA16_491: Total - Couple census families in private households - 100% data,v_CA16_497: Total - Lone-parent census families in private households - 100% data,v_CA16_502: Total - Persons not in census families in private households - 100% data,v_CA16_501: Total - Persons not in census families in private households - 100% data,v_CA16_503: Total - Persons not in census families in private households - 100% data,v_CA16_505: One-census-family households,v_CA16_508: Multiple-census-family households,v_CA16_509: Non-census-family households
0,30,5350001.0,CT,Toronto,6.62211,595,274,247,25,150,25,65,115,50,170,5,75
1,75,5350002.0,CT,Toronto,3.2947,620,279,270,35,150,30,45,115,75,180,0,85
2,20,5350003.0,CT,Toronto,0.94253,749,267,258,20,110,20,75,150,80,120,5,130
3,385,5350004.0,CT,Toronto,0.34347,6686,3609,3455,310,1015,310,1460,2770,1305,1275,25,2160
4,320,5350005.0,CT,Toronto,0.37611999999999995,6424,3729,3424,375,980,375,1285,2640,1355,1305,25,2090
5,x,5350006.0,CT,Toronto,0.01288,0,0,0,x,x,x,x,x,x,x,x,x
6,185,5350007.01,CT,Toronto,0.19931,3237,1827,1747,150,540,155,740,1340,600,665,10,1070
7,235,5350007.02,CT,Toronto,0.43656999999999996,4753,2653,2506,280,720,280,1045,1905,855,970,15,1520
8,325,5350008.01,CT,Toronto,0.29723,7503,5192,4954,90,1625,85,1840,3760,1920,1705,0,3245
9,400,5350008.02,CT,Toronto,1.8393700000000002,9942,6390,6060,325,1955,330,2205,4525,2320,2235,25,3805
10,10,5350009.0,CT,Toronto,0.10317,567,169,166,25,35,25,75,135,65,60,0,105
11,225,5350010.01,CT,Toronto,0.26263000000000003,5428,3281,3147,215,1135,215,995,2160,1160,1325,15,1810
12,370,5350010.02,CT,Toronto,0.54735,7740,4628,4447,230,1480,230,1605,3300,1695,1645,35,2770
13,450,5350011.0,CT,Toronto,0.9803700000000001,17549,15207,11891,210,3185,210,5165,9935,4770,3365,20,8515
14,380,5350012.01,CT,Toronto,0.41877,11658,7449,6881,350,2060,355,3025,5830,2810,2360,30,4495
15,140,5350012.03,CT,Toronto,0.46643,8865,5997,5311,170,1750,170,2475,4405,1935,1865,25,3420
16,90,5350012.04,CT,Toronto,0.233,4899,3258,2956,115,1040,115,1120,2240,1120,1140,10,1810
17,40,5350013.01,CT,Toronto,0.34314,6290,4499,4059,155,1245,155,1540,3095,1550,1385,5,2665
18,65,5350013.02,CT,Toronto,0.41796000000000005,8126,5270,4725,180,1900,180,1590,3125,1535,2030,25,2670
19,10,5350014.0,CT,Toronto,0.47266,1242,975,691,35,275,35,260,445,190,300,5,385
20,25,5350015.0,CT,Toronto,0.28599,3663,2451,2226,110,775,110,755,1545,790,875,5,1345
21,350,5350016.0,CT,Toronto,0.65971,10101,6527,6180,240,2030,235,2225,4440,2215,2245,10,3920
22,330,5350017.0,CT,Toronto,1.37531,7906,5250,4663,475,1390,470,1490,3250,1760,1835,15,2815
23,135,5350018.0,CT,Toronto,0.35178000000000004,2456,1319,1248,85,505,85,430,815,385,570,10,665
24,120,5350019.0,CT,Toronto,0.24894000000000002,3258,1410,1365,215,595,210,380,770,390,770,20,575
25,35,5350020.0,CT,Toronto,0.7386199999999999,2390,1028,1014,80,615,85,120,375,255,675,10,325
26,180,5350021.0,CT,Toronto,0.8680700000000001,5199,2830,2661,225,1125,225,640,1520,880,1310,20,1330
27,85,5350022.0,CT,Toronto,0.55462,3883,1577,1504,160,930,160,225,520,290,1070,10,420
28,55,5350023.0,CT,Toronto,0.68635,3208,1355,1286,115,785,115,185,460,275,875,15,395
