,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_504: Total - Private households by household type - 100% data,v_CA16_2201: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2246: Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2297: Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2348: Without employment income,v_CA16_2351: With employment income,v_CA16_2396: Total - Income statistics in 2015 for private households by household size - 100% data,v_CA16_2400: Median total income of one-person households in 2015 ($),v_CA16_2401: Median after-tax income of one-person households in 2015 ($),v_CA16_2403: Median total income of two-or-more-person households in 2015 ($),v_CA16_2404: Median after-tax income of two-or-more-person households in 2015 ($)
0,30,5350001.0,CT,Toronto,6.62211,595,274,247,245,510,510,510,95,415,245,46720,40576,122368,103936
1,75,5350002.0,CT,Toronto,3.2947,620,279,270,270,530,530,530,150,380,270,41856,37696,97408,84634
2,20,5350003.0,CT,Toronto,0.94253,749,267,258,260,425,430,430,90,335,260,74368,57984,99072,85120
3,385,5350004.0,CT,Toronto,0.34347,6686,3609,3455,3455,5705,5700,5700,1690,4010,3455,23520,22677,53696,50080
4,320,5350005.0,CT,Toronto,0.37611999999999995,6424,3729,3424,3425,5530,5530,5525,1435,4090,3425,24768,23386,70059,62816
5,x,5350006.0,CT,Toronto,0.01288,0,0,0,x,x,x,x,x,x,x,x,x,x,x
6,185,5350007.01,CT,Toronto,0.19931,3237,1827,1747,1750,2820,2820,2820,635,2180,1750,29670,27691,62784,57120
7,235,5350007.02,CT,Toronto,0.43656999999999996,4753,2653,2506,2505,4115,4110,4110,1175,2935,2505,26432,24789,54741,51273
8,325,5350008.01,CT,Toronto,0.29723,7503,5192,4954,4955,7200,7205,7205,455,6750,4955,68770,56084,112064,93312
9,400,5350008.02,CT,Toronto,1.8393700000000002,9942,6390,6060,6060,9235,9235,9235,1200,8035,6060,60021,50225,97003,83153
10,10,5350009.0,CT,Toronto,0.10317,567,169,166,170,260,260,260,90,165,170,17984,17984,48512,46336
11,225,5350010.01,CT,Toronto,0.26263000000000003,5428,3281,3147,3150,4865,4860,4865,575,4285,3150,73429,59557,114560,94777
12,370,5350010.02,CT,Toronto,0.54735,7740,4628,4447,4450,6830,6830,6830,1015,5810,4450,59733,50176,111008,93760
13,450,5350011.0,CT,Toronto,0.9803700000000001,17549,15207,11891,11890,16935,16940,16935,1905,15035,11890,68884,57463,116821,97948
14,380,5350012.01,CT,Toronto,0.41877,11658,7449,6881,6880,10840,10840,10840,1790,9050,6880,56627,48144,82377,72409
