,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA16_2406: Under $5,000","v_CA16_2407: $5,000 to $9,999","v_CA16_2408: $10,000 to $14,999","v_CA16_2409: $15,000 to $19,999","v_CA16_2410: $20,000 to $24,999","v_CA16_2411: $25,000 to $29,999","v_CA16_2412: $30,000 to $34,999","v_CA16_2413: $35,000 to $39,999","v_CA16_2414: $40,000 to $44,999","v_CA16_2415: $45,000 to $49,999"
0,30,5350001.0,CT,Toronto,6.62211,595,274,247,5,10,5,10,5,5,5,5,0,5
1,75,5350002.0,CT,Toronto,3.2947,620,279,270,5,5,5,10,15,10,5,10,15,5
2,20,5350003.0,CT,Toronto,0.94253,749,267,258,15,0,5,5,5,10,5,10,5,10
3,385,5350004.0,CT,Toronto,0.34347,6686,3609,3455,140,125,300,355,260,230,210,235,220,180
4,320,5350005.0,CT,Toronto,0.37611999999999995,6424,3729,3424,85,130,265,360,200,160,155,140,145,150
5,x,5350006.0,CT,Toronto,0.01288,0,0,0,x,x,x,x,x,x,x,x,x,x
6,185,5350007.01,CT,Toronto,0.19931,3237,1827,1747,55,55,115,125,115,120,125,115,95,95
7,235,5350007.02,CT,Toronto,0.43656999999999996,4753,2653,2506,90,95,175,230,180,185,160,160,150,145
8,325,5350008.01,CT,Toronto,0.29723,7503,5192,4954,115,80,80,100,105,110,115,130,130,160
9,400,5350008.02,CT,Toronto,1.8393700000000002,9942,6390,6060,205,140,180,195,200,190,175,165,215,235
10,10,5350009.0,CT,Toronto,0.10317,567,169,166,0,0,30,20,10,15,10,10,5,10
11,225,5350010.01,CT,Toronto,0.26263000000000003,5428,3281,3147,65,40,75,90,75,100,65,80,95,100
12,370,5350010.02,CT,Toronto,0.54735,7740,4628,4447,130,75,170,145,145,125,150,145,155,145
13,450,5350011.0,CT,Toronto,0.9803700000000001,17549,15207,11891,555,295,290,300,300,285,295,305,330,345
14,380,5350012.01,CT,Toronto,0.41877,11658,7449,6881,430,180,220,220,215,205,235,245,240,250
15,140,5350012.03,CT,Toronto,0.46643,8865,5997,5311,225,95,115,135,125,130,115,130,130,150
16,90,5350012.04,CT,Toronto,0.233,4899,3258,2956,110,55,60,75,80,75,80,75,100,100
17,40,5350013.01,CT,Toronto,0.34314,6290,4499,4059,150,65,120,190,165,120,105,105,140,105
18,65,5350013.02,CT,Toronto,0.41796000000000005,8126,5270,4725,190,80,115,100,120,125,105,115,120,110
19,10,5350014.0,CT,Toronto,0.47266,1242,975,691,55,10,15,10,10,15,5,20,30,10
20,25,5350015.0,CT,Toronto,0.28599,3663,2451,2226,65,40,60,55,55,50,45,65,65,65
21,350,5350016.0,CT,Toronto,0.65971,10101,6527,6180,210,110,200,180,190,170,135,185,205,195
22,330,5350017.0,CT,Toronto,1.37531,7906,5250,4663,130,105,250,275,195,195,165,175,175,185
23,135,5350018.0,CT,Toronto,0.35178000000000004,2456,1319,1248,35,40,60,45,35,30,30,35,25,25
24,120,5350019.0,CT,Toronto,0.24894000000000002,3258,1410,1365,25,75,125,105,60,45,45,50,40,45
25,35,5350020.0,CT,Toronto,0.7386199999999999,2390,1028,1014,10,5,10,20,20,15,20,25,15,30
26,180,5350021.0,CT,Toronto,0.8680700000000001,5199,2830,2661,75,55,130,125,100,85,70,100,85,100
