,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA16_2416: $50,000 to $59,999","v_CA16_2417: $60,000 to $69,999","v_CA16_2418: $70,000 to $79,999","v_CA16_2419: $80,000 to $89,999","v_CA16_2420: $90,000 to $99,999",v_CA16_2447: Median total income of economic families in 2015 ($),v_CA16_2449: Average family size of economic families,v_CA16_2451: Median total income of couple economic families without children or other relatives in 2015 ($),v_CA16_2453: Average family size of couple economic families without children or other relatives,v_CA16_2455: Median total income of couple economic families with children in 2015 ($)
0,30,5350001.0,CT,Toronto,6.62211,595,274,247,10,15,10,15,5,116608,2.8,129152,2,130304
1,75,5350002.0,CT,Toronto,3.2947,620,279,270,15,20,25,10,20,94720,2.6,93696,2.1,129792
2,20,5350003.0,CT,Toronto,0.94253,749,267,258,15,15,25,20,20,104320,2.5,106752,2,116992
3,385,5350004.0,CT,Toronto,0.34347,6686,3609,3455,290,205,140,135,85,53547,2.8,55782,2,67328
4,320,5350005.0,CT,Toronto,0.37611999999999995,6424,3729,3424,250,235,205,170,145,72294,2.6,88320,2,87296
5,x,5350006.0,CT,Toronto,0.01288,0,0,0,x,x,x,x,x,x,x,x,x,x
6,185,5350007.01,CT,Toronto,0.19931,3237,1827,1747,160,120,80,75,55,61653,2.7,66048,2,78592
7,235,5350007.02,CT,Toronto,0.43656999999999996,4753,2653,2506,210,185,150,95,85,53683,2.7,55424,2,65254
8,325,5350008.01,CT,Toronto,0.29723,7503,5192,4954,380,410,425,405,365,116480,2.2,120448,2,130048
9,400,5350008.02,CT,Toronto,1.8393700000000002,9942,6390,6060,470,535,460,430,340,102080,2.4,113664,2,102784
10,10,5350009.0,CT,Toronto,0.10317,567,169,166,15,10,5,10,5,48000,2.5,48000,2,0
11,225,5350010.01,CT,Toronto,0.26263000000000003,5428,3281,3147,190,195,230,215,210,116531,2.4,126208,2,143616
12,370,5350010.02,CT,Toronto,0.54735,7740,4628,4447,295,265,275,265,275,112768,2.5,122266,2,128256
13,450,5350011.0,CT,Toronto,0.9803700000000001,17549,15207,11891,705,855,845,760,710,123136,2.2,129741,2,127573
14,380,5350012.01,CT,Toronto,0.41877,11658,7449,6881,560,600,545,505,390,84850,2.4,99379,2,82432
15,140,5350012.03,CT,Toronto,0.46643,8865,5997,5311,325,370,405,390,380,110665,2.4,119040,2,114560
16,90,5350012.04,CT,Toronto,0.233,4899,3258,2956,215,220,215,190,190,108544,2.3,116992,2,115712
17,40,5350013.01,CT,Toronto,0.34314,6290,4499,4059,235,255,255,200,225,125952,2.3,136128,2,138240
18,65,5350013.02,CT,Toronto,0.41796000000000005,8126,5270,4725,285,285,290,265,240,128284,2.4,134784,2,139776
19,10,5350014.0,CT,Toronto,0.47266,1242,975,691,25,25,20,30,20,150699,2.4,177664,2,154624
20,25,5350015.0,CT,Toronto,0.28599,3663,2451,2226,135,125,140,140,140,124608,2.3,141141,2,123776
21,350,5350016.0,CT,Toronto,0.65971,10101,6527,6180,395,440,450,385,380,117325,2.3,129843,2,115584
22,330,5350017.0,CT,Toronto,1.37531,7906,5250,4663,350,340,315,265,250,88525,2.5,112981,2,94912
23,135,5350018.0,CT,Toronto,0.35178000000000004,2456,1319,1248,70,80,65,60,55,133376,2.6,149760,2,158720
24,120,5350019.0,CT,Toronto,0.24894000000000002,3258,1410,1365,60,85,60,60,55,88896,2.9,109824,2,116992
25,35,5350020.0,CT,Toronto,0.7386199999999999,2390,1028,1014,35,40,40,45,50,195584,2.9,150528,2,279893
26,180,5350021.0,CT,Toronto,0.8680700000000001,5199,2830,2661,175,145,145,130,120,121088,2.8,107776,2,186197
27,85,5350022.0,CT,Toronto,0.55462,3883,1577,1504,75,60,65,60,50,163044,3.1,130304,2,224896
28,55,5350023.0,CT,Toronto,0.68635,3208,1355,1286,55,65,50,60,55,181248,3.1,136448,2,246784
29,215,5350024.0,CT,Toronto,0.70927,6887,3136,2963,170,145,145,135,130,132565,2.9,115541,2,187904
30,105,5350025.0,CT,Toronto,0.5284300000000001,3456,1659,1610,105,95,70,60,70,110507,2.8,107264,2,155136
31,250,5350026.0,CT,Toronto,0.7771899999999999,6486,2894,2695,170,135,155,150,130,97792,3,101291,2,117914
32,165,5350027.0,CT,Toronto,0.48531,4390,1818,1724,115,95,95,70,80,93070,3.1,102144,2,114227
33,50,5350028.01,CT,Toronto,0.20715999999999998,1387,728,684,35,40,45,40,40,137387,2.7,131584,2,168960
34,240,5350028.02,CT,Toronto,0.46335,6198,3007,2836,155,185,150,155,155,113216,2.8,118016,2,139366
35,325,5350029.0,CT,Toronto,0.6866899999999999,6987,3099,2962,195,175,145,165,120,90304,3,115328,2,102272
36,190,5350030.0,CT,Toronto,0.38708000000000004,4529,2319,2195,175,185,130,115,110,69478,2.8,93355,2,64512
37,110,5350031.0,CT,Toronto,0.26375,6274,2864,2765,220,175,125,105,65,44379,3.3,54528,2,47514
38,225,5350032.0,CT,Toronto,0.4197,5363,2976,2641,115,95,60,65,55,63360,2.6,91904,2,86272
39,115,5350033.0,CT,Toronto,0.31956999999999997,5042,3010,2733,135,100,70,70,65,43691,2.7,65920,2,49280
40,70,5350034.01,CT,Toronto,0.12455,4554,2884,2268,140,130,125,90,115,99584,2.4,116736,2,96000
41,95,5350034.02,CT,Toronto,0.39824,5147,3409,3055,190,190,190,155,135,79957,2.4,104832,2,76672
42,120,5350035.0,CT,Toronto,0.66273,9876,6772,5707,305,345,345,300,230,73440,2.5,101035,2,68832
43,210,5350036.0,CT,Toronto,0.38343,5487,3641,3272,230,220,180,165,140,77349,2.5,92480,2,84864
44,290,5350037.0,CT,Toronto,0.45102,4494,2463,2116,155,115,115,80,65,68352,2.8,73088,2,88832
45,275,5350038.0,CT,Toronto,0.36616,3772,1820,1638,100,95,75,60,55,60339,2.8,60032,2,75520
46,165,5350039.0,CT,Toronto,0.31773,4192,1821,1709,135,75,75,80,65,51541,3.2,56192,2,62656
47,305,5350040.0,CT,Toronto,0.36873,4568,1961,1788,120,105,105,105,70,81024,2.9,76032,2,101632
48,310,5350041.0,CT,Toronto,0.31711999999999996,3453,1588,1453,105,80,70,100,90,94549,2.9,91392,2,119040
49,450,5350042.0,CT,Toronto,0.48994,4570,2150,1965,150,125,115,90,95,92843,2.8,74112,2,129792
