,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_2457: Average family size of couple economic families with children,v_CA16_2459: Median total income of lone-parent economic families in 2015 ($),v_CA16_2461: Average family size of lone-parent economic families,v_CA16_2465: Median total income in 2015 for persons aged 15 years and over not in economic families ($),v_CA16_2510: Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,"v_CA16_2525: In low income based on the Low-income measure, after tax (LIM-AT)","v_CA16_2540: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA16_2555: In low income based on the Low-income cut-offs, after tax (LICO-AT)","v_CA16_2570: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)"
0,30,5350001.0,CT,Toronto,6.62211,595,274,247,3.8,67328,2.6,37760,595,80,13.4,90,15.1
1,75,5350002.0,CT,Toronto,3.2947,620,279,270,3.5,64896,2.3,39040,585,70,12,55,9.4
2,20,5350003.0,CT,Toronto,0.94253,749,267,258,3.6,0,2.2,61952,465,65,14,60,12.9
3,385,5350004.0,CT,Toronto,0.34347,6686,3609,3455,3.8,35328,2.5,22176,6335,2210,34.9,1965,31
4,320,5350005.0,CT,Toronto,0.37611999999999995,6424,3729,3424,3.8,42432,2.6,25984,6100,1745,28.6,1615,26.5
5,x,5350006.0,CT,Toronto,0.01288,0,0,0,x,x,x,x,x,x,x,x,x
6,185,5350007.01,CT,Toronto,0.19931,3237,1827,1747,3.8,38528,2.5,28078,3160,820,25.9,735,23.3
7,235,5350007.02,CT,Toronto,0.43656999999999996,4753,2653,2506,3.9,41472,2.5,24992,4585,1450,31.6,1230,26.8
8,325,5350008.01,CT,Toronto,0.29723,7503,5192,4954,3.3,59392,2.3,63696,7500,735,9.8,725,9.7
9,400,5350008.02,CT,Toronto,1.8393700000000002,9942,6390,6060,3.5,46848,2.4,53504,9885,1665,16.8,1575,15.9
10,10,5350009.0,CT,Toronto,0.10317,567,169,166,3.5,40192,2.5,19264,295,115,39,90,30.5
11,225,5350010.01,CT,Toronto,0.26263000000000003,5428,3281,3147,3.4,44160,2.5,63659,5365,635,11.8,610,11.4
