GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA16_401: Population, 2016",v_CA16_406: Population density per square kilometre,v_CA16_407: Land area in square kilometres,v_CA16_1: Age Stats
5050001.01,CT,Ottawa,2.00958,7982,3514,3282,7982,3972.3,2.01,7980
5050001.04,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715
5050001.05,CT,Ottawa,2.70025,5984,2022,1984,5984,2216.0,2.70,5980
5050001.06,CT,Ottawa,1.25433,6111,2402,2347,6111,4872.0,1.25,6110
5050001.07,CT,Ottawa,0.97422,4193,1473,1444,4193,4303.6,0.97,4195
5050001.08,CT,Ottawa,4.60734,4632,1496,1478,4632,1005.6,4.61,4630
5050002.01,CT,Ottawa,2.71663,2885,1174,1145,2885,1119.3,2.58,2885
5050002.02,CT,Ottawa,1.52026,3470,1307,1284,3470,2282.1,1.52,3470
5050002.04,CT,Ottawa,1.36697,1381,636,621,1381,1169.2,1.18,1385
5050002.05,CT,Ottawa,1.36697,5116,2026,1943,5116,3742.5,1.37,5115
5050002.06,CT,Ottawa,4.48828,2609,1046,1015,2609,581.6,4.49,2610
5050003.00,CT,Ottawa,3.41733,4617,2116,1982,4617,1444.7,3.20,4615
5050004.00,CT,Ottawa,1.94789,3824,2074,1840,3824,2034.2,1.88,3825
5050005.00,CT,Ottawa,2.25744,5876,2686,2522,5876,2635.2,2.23,5875
5050006.00,CT,Ottawa,2.57261,4097,1591,1533,4097,1619.6,2.53,4100
5050007.01,CT,Ottawa,0.83507,2230,1166,1101,2230,2670.0,0.84,2230
5050007.02,CT,Ottawa,0.42172,4681,1909,1630,4681,11100.3,0.42,4680
5050007.03,CT,Ottawa,1.21455,3731,1477,1442,3731,3073.1,1.21,3730
5050008.00,CT,Ottawa,1.55436,4622,2155,2068,4622,2973.5,1.55,4620
5050009.00,CT,Ottawa,1.02913,3271,1465,1407,3271,3177.9,1.03,3275
5050010.00,CT,Ottawa,0.62556,3866,1817,1697,3866,6178.7,0.63,3865
5050011.01,CT,Ottawa,7.83925,6948,3313,3040,6948,889.4,7.81,6950
5050011.03,CT,Ottawa,1.38046,4009,2540,2256,4009,3264.1,1.23,4010
5050011.04,CT,Ottawa,2.03098,4607,1914,1776,4607,2268.3,2.03,4605
5050012.00,CT,Ottawa,1.52279,4367,1695,1618,4367,2868.7,1.52,4370
5050013.00,CT,Ottawa,1.60936,4922,2680,2463,4922,3240.7,1.52,4920
5050014.00,CT,Ottawa,0.42748,1872,935,842,1872,4905.7,0.38,1870
5050015.00,CT,Ottawa,1.20146,5190,3085,2544,5190,4680.3,1.11,5195
5050016.00,CT,Ottawa,1.26838,4596,1878,1799,4596,4198.8,1.09,4600
5050017.00,CT,Ottawa,1.04462,4042,1654,1502,4042,4308.2,0.94,4045
5050018.00,CT,Ottawa,0.7856,4263,2096,1874,4263,5785.8,0.74,4260
5050019.00,CT,Ottawa,1.26022,3966,1885,1710,3966,3858.7,1.03,3965
5050020.01,CT,Ottawa,5.95529,5008,2868,2384,5008,870.4,5.75,5010
5050020.02,CT,Ottawa,1.82335,2888,1139,1050,2888,1915.4,1.51,2885
5050021.00,CT,Ottawa,2.13981,6076,2915,2711,6076,2839.5,2.14,6080
5050022.00,CT,Ottawa,1.76192,5562,2932,2626,5562,3195.8,1.74,5565
5050023.01,CT,Ottawa,1.28555,5772,2853,2638,5772,4488.7,1.29,5775
5050023.02,CT,Ottawa,0.91115,3888,1688,1615,3888,4267.8,0.91,3890
5050024.00,CT,Ottawa,1.37142,3196,1343,1292,3196,2330.6,1.37,3195
5050025.00,CT,Ottawa,2.48162,5514,2020,1942,5514,2222.1,2.48,5515
5050026.00,CT,Ottawa,2.22009,5367,2281,2176,5367,2417.7,2.22,5370
5050027.00,CT,Ottawa,0.74796,3856,1808,1723,3856,5155.8,0.75,3855
5050028.00,CT,Ottawa,1.96953,6649,2792,2636,6649,3375.8,1.97,6650
5050029.00,CT,Ottawa,1.85059,4932,2408,2253,4932,4898.7,1.01,4930
5050030.00,CT,Ottawa,3.18613,6360,3767,3528,6360,3548.7,1.79,6360
5050031.00,CT,Ottawa,2.12864,5349,3272,3129,5349,4836.3,1.11,5350
5050032.01,CT,Ottawa,0.77878,3558,1857,1823,3558,4569.2,0.78,3555
5050032.02,CT,Ottawa,2.98962,6015,2547,2479,6015,3302.9,1.82,6020
5050033.01,CT,Ottawa,1.05759,5106,2198,2107,5106,4826.5,1.06,5110
5050033.02,CT,Ottawa,1.01789,3198,1780,1618,3198,3141.8,1.02,3200
5050034.00,CT,Ottawa,1.28109,3631,1371,1316,3631,2834.7,1.28,3630
5050035.00,CT,Ottawa,0.78588,3956,2659,2297,3956,5034.4,0.79,3950
5050036.00,CT,Ottawa,0.81585,3330,1465,1353,3330,4222.7,0.79,3330
5050037.00,CT,Ottawa,0.57498,8283,6325,5621,8283,14447.9,0.57,8285
5050038.00,CT,Ottawa,0.43316,5883,4381,3943,5883,13583.5,0.43,5880
5050039.00,CT,Ottawa,0.40255,2604,1573,1389,2604,6466.4,0.40,2605
5050040.00,CT,Ottawa,0.38167,3955,2556,2195,3955,10364.3,0.38,3955
5050041.00,CT,Ottawa,0.57073,3991,2198,2000,3991,6993.2,0.57,3990
5050042.00,CT,Ottawa,0.57754,3589,2308,1929,3589,6212.6,0.58,3590
5050043.00,CT,Ottawa,0.73048,4432,2369,2212,4432,6068.7,0.73,4435
5050044.00,CT,Ottawa,0.67904,2547,1007,994,2547,3751.7,0.68,2545
5050045.00,CT,Ottawa,5.16773,8450,4474,4232,8450,2583.2,3.27,8445
5050046.00,CT,Ottawa,1.2719,4850,3071,2860,4850,4992.8,0.97,4850
5050047.00,CT,Ottawa,1.25779,620,478,401,620,738.6,0.84,620
5050048.00,CT,Ottawa,1.51498,4876,3956,3180,4876,3865.2,1.26,4880
5050049.00,CT,Ottawa,0.32497,3098,2363,1947,3098,10316.4,0.30,3100
5050050.00,CT,Ottawa,0.45317,1158,519,315,1158,2638.4,0.44,x
5050051.00,CT,Ottawa,0.59539,4384,3434,2363,4384,7364.4,0.60,4385
5050052.00,CT,Ottawa,0.75475,4656,3128,2557,4656,7148.8,0.65,4655
5050053.00,CT,Ottawa,0.40899,3972,3267,2588,3972,9713.9,0.41,3970
5050054.00,CT,Ottawa,0.58508,3033,2217,1727,3033,5428.7,0.56,3030
5050055.00,CT,Ottawa,0.96953,1959,1223,1086,1959,3365.4,0.58,1960
5050056.00,CT,Ottawa,0.59401,3892,1986,1785,3892,7622.4,0.51,3890
5050057.00,CT,Ottawa,0.31236,1817,762,709,1817,6841.1,0.27,1820
5050058.00,CT,Ottawa,1.48433,3568,1851,1729,3568,3116.2,1.15,3570
5050059.00,CT,Ottawa,2.5202,3375,1509,1464,3375,2154.9,1.57,3375
5050060.00,CT,Ottawa,1.33925,4341,2695,2602,4341,3252.9,1.33,4340
5050061.00,CT,Ottawa,1.36953,5304,2416,2306,5304,3872.4,1.37,5305
5050062.01,CT,Ottawa,1.83494,5786,2660,2507,5786,3153.0,1.84,5790
5050062.02,CT,Ottawa,5.87208,1686,759,719,1686,353.2,4.77,1685
5050100.00,CT,Ottawa,0.50195,2938,1820,1587,2938,5852.6,0.50,2935
5050101.00,CT,Ottawa,0.84297,3001,1903,1721,3001,4083.5,0.73,3005
5050102.00,CT,Ottawa,0.43114,3155,2012,1873,3155,7318.5,0.43,3155
5050103.00,CT,Ottawa,0.83997,4519,2507,2225,4519,5380.4,0.84,4520
5050104.00,CT,Ottawa,0.39168,2996,1962,1741,2996,7646.8,0.39,3000
5050110.00,CT,Ottawa,1.85945,1932,785,674,1932,1094.7,1.76,1930
5050120.01,CT,Ottawa,1.59313,1664,482,463,1664,1044.5,1.59,1665
5050120.02,CT,Ottawa,6.44329,3933,1520,1502,3933,1070.4,3.67,3935
5050120.03,CT,Ottawa,1.75964,5244,2085,2053,5244,2980.1,1.76,5245
5050121.01,CT,Ottawa,1.16236,4358,1861,1803,4358,3749.1,1.16,4360
5050121.02,CT,Ottawa,1.09555,2961,1442,1359,2961,2702.9,1.10,2960
5050122.01,CT,Ottawa,0.89094,3721,1391,1238,3721,4176.7,0.89,3715
5050122.02,CT,Ottawa,3.70988,6463,2498,2419,6463,1747.5,3.70,6465
5050122.03,CT,Ottawa,2.4614,4811,2230,2136,4811,1954.5,2.46,4815
5050123.01,CT,Ottawa,1.82343,5471,2136,2072,5471,3005.9,1.82,5470
5050123.02,CT,Ottawa,4.37245,8719,3108,3017,8719,1994.1,4.37,8720
5050124.01,CT,Ottawa,3.0784,3375,1285,1267,3375,1102.7,3.06,3375
5050124.02,CT,Ottawa,2.05926,3976,1823,1782,3976,2541.5,1.56,3980
5050124.03,CT,Ottawa,5.49778,4841,1866,1851,4841,1095.9,4.42,4840
5050124.04,CT,Ottawa,0.94522,3081,1136,1130,3081,3259.3,0.95,3080
5050125.01,CT,Ottawa,1.51235,4798,1802,1787,4798,3172.4,1.51,4800
5050125.02,CT,Ottawa,0.9007,3369,1369,1327,3369,3740.8,0.90,3370
5050125.03,CT,Ottawa,59.56795,527,210,205,527,8.9,59.36,530
5050125.04,CT,Ottawa,1.73285,3924,1355,1354,3924,2264.7,1.73,3925
5050125.05,CT,Ottawa,1.98436,5229,1859,1844,5229,2635.2,1.98,5225
5050125.06,CT,Ottawa,9.90514,10308,3486,3341,10308,1041.1,9.90,10310
5050125.07,CT,Ottawa,1.66586,4369,1620,1590,4369,2624.0,1.67,4370
5050125.08,CT,Ottawa,1.31035,4814,1833,1811,4814,3674.5,1.31,4815
5050125.09,CT,Ottawa,0.74091,3593,1396,1381,3593,4848.2,0.74,3595
5050126.03,CT,Ottawa,17.3533,8865,2785,2698,8865,511.1,17.35,8865
5050126.04,CT,Ottawa,136.50772,5114,2006,1934,5114,37.7,135.71,5115
5050126.05,CT,Ottawa,7.32493,6389,2093,2079,6389,935.3,6.83,6385
5050126.06,CT,Ottawa,7.3048,5953,2129,2098,5953,814.9,7.30,5955
5050127.00,CT,Ottawa,19.69407,3410,1556,1300,3410,173.2,19.69,3410
5050130.01,CT,Ottawa,11.32343,3950,1613,1517,3950,357.2,11.06,3950
5050130.02,CT,Ottawa,1.5497,4247,1750,1703,4247,2740.5,1.55,4245
5050131.01,CT,Ottawa,1.53735,5518,2672,2548,5518,3632.4,1.52,5515
5050131.02,CT,Ottawa,1.40059,4643,2021,1935,4643,3315.5,1.40,4645
5050132.00,CT,Ottawa,1.95087,6086,2596,2435,6086,3119.9,1.95,6090
5050133.00,CT,Ottawa,2.40131,5092,2162,1938,5092,2120.6,2.40,5090
5050134.00,CT,Ottawa,2.0519,3664,1452,1389,3664,1785.7,2.05,3660
5050135.01,CT,Ottawa,1.8317,6508,2386,2347,6508,3553.0,1.83,6505
5050135.02,CT,Ottawa,3.75595,4771,1910,1887,4771,1287.2,3.71,4770
5050135.03,CT,Ottawa,1.39461,1860,762,719,1860,1333.9,1.39,1860
5050136.01,CT,Ottawa,2.56836,4508,1761,1722,4508,1755.2,2.57,4505
5050136.02,CT,Ottawa,2.09092,4764,2082,2000,4764,2278.4,2.09,4765
5050137.02,CT,Ottawa,0.9746,3096,1373,1338,3096,3176.4,0.97,3095
5050137.03,CT,Ottawa,1.2109,1772,655,647,1772,1466.3,1.21,1775
5050137.04,CT,Ottawa,0.88857,1913,826,784,1913,2152.8,0.89,1915
5050137.05,CT,Ottawa,2.06978,7245,2706,2622,7245,3500.8,2.07,7245
5050138.00,CT,Ottawa,1.54358,7492,3063,2852,7492,6178.5,1.21,7495
5050139.00,CT,Ottawa,20.49547,3962,1610,1553,3962,701.2,5.65,3960
5050140.01,CT,Ottawa,16.98216,5,1,1,5,0.3,16.98,x
5050140.03,CT,Ottawa,0.8107,2613,1018,990,2613,3223.9,0.81,2615
5050140.04,CT,Ottawa,1.25169,5174,1754,1750,5174,4133.6,1.25,5175
5050140.05,CT,Ottawa,1.12471,4564,1627,1609,4564,4058.7,1.12,4565
5050140.06,CT,Ottawa,0.71725,2196,784,781,2196,3061.5,0.72,2195
5050140.07,CT,Ottawa,1.34049,4453,1780,1744,4453,3321.6,1.34,4455
5050141.04,CT,Ottawa,2.84111,3569,1256,1228,3569,1309.5,2.73,3570
