GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_5807: Bicycle,v_CA16_61: 15 to 64 years,v_CA16_388: 15 to 64 years,v_CA16_418: Private households by household size,v_CA16_406: Population density per square kilometre,v_CA16_424: Number of persons in private households,v_CA16_478: Total - Census families in private households by family size - 100% data,v_CA16_485: Total couple families,v_CA16_491: Total - Couple census families in private households - 100% data,v_CA16_501: Total - Persons not in census families in private households - 100% data,v_CA16_509: Non-census-family households,v_CA16_504: Total - Private households by household type - 100% data,v_CA16_2201: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2246: Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2297: Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2351: With employment income,v_CA16_2396: Total - Income statistics in 2015 for private households by household size - 100% data,"v_CA16_2406: Under $5,000","v_CA16_2407: $5,000 to $9,999","v_CA16_2408: $10,000 to $14,999","v_CA16_2416: $50,000 to $59,999","v_CA16_2417: $60,000 to $69,999","v_CA16_2418: $70,000 to $79,999","v_CA16_2419: $80,000 to $89,999","v_CA16_2420: $90,000 to $99,999",v_CA16_2465: Median total income in 2015 for persons aged 15 years and over not in economic families ($),v_CA16_2510: Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,"v_CA16_2525: In low income based on the Low-income measure, after tax (LIM-AT)","v_CA16_2555: In low income based on the Low-income cut-offs, after tax (LICO-AT)","v_CA16_2570: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)"
5350001.00,CT,Toronto,6.62211,595,274,247,30,460,78.2,245,97.6,595,175,150,150,115,75,245,510,510,510,415,245,5,10,5,10,15,10,15,5,37760,595,80,90,15.1
5350002.00,CT,Toronto,3.2947,620,279,270,75,390,62.1,270,195.4,590,185,150,150,115,85,270,530,530,530,380,270,5,5,5,15,20,25,10,20,39040,585,70,55,9.4
5350003.00,CT,Toronto,0.94253,749,267,258,20,515,68.0,260,820.5,465,130,110,110,150,130,260,425,430,430,335,260,15,0,5,15,15,25,20,20,61952,465,65,60,12.9
5350004.00,CT,Toronto,0.34347,6686,3609,3455,385,5275,78.8,3455,19453.0,6340,1325,1010,1015,2770,2160,3455,5705,5700,5700,4010,3455,140,125,300,290,205,140,135,85,22176,6335,2210,1965,31.0
5350005.00,CT,Toronto,0.37612,6424,3729,3424,320,5045,78.7,3420,17076.0,6100,1355,980,980,2640,2090,3425,5530,5530,5525,4090,3425,85,130,265,250,235,205,170,145,25984,6100,1745,1615,26.5
5350006.00,CT,Toronto,0.01288,0,0,0,x,x,x,x,0.0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
5350007.01,CT,Toronto,0.19931,3237,1827,1747,185,2580,79.9,1750,16233.7,3160,685,535,540,1340,1070,1750,2820,2820,2820,2180,1750,55,55,115,160,120,80,75,55,28078,3160,820,735,23.3
5350007.02,CT,Toronto,0.43657,4753,2653,2506,235,3775,79.5,2505,10891.4,4590,1000,725,720,1905,1520,2505,4115,4110,4110,2935,2505,90,95,175,210,185,150,95,85,24992,4585,1450,1230,26.8
5350008.01,CT,Toronto,0.29723,7503,5192,4954,325,7095,94.6,4955,25262.6,7500,1710,1625,1625,3760,3245,4955,7200,7205,7205,6750,4955,115,80,80,380,410,425,405,365,63696,7500,735,725,9.7
5350008.02,CT,Toronto,1.83937,9942,6390,6060,400,8840,88.9,6060,5345.7,9880,2285,1955,1955,4525,3805,6060,9235,9235,9235,8035,6060,205,140,180,470,535,460,430,340,53504,9885,1665,1575,15.9
5350009.00,CT,Toronto,0.10317,567,169,166,10,470,83.3,165,5499.5,290,60,35,35,135,105,170,260,260,260,165,170,0,0,30,15,10,5,10,5,19264,295,115,90,30.5
5350010.01,CT,Toronto,0.26263,5428,3281,3147,225,4645,85.6,3150,20670.2,5365,1350,1135,1135,2160,1810,3150,4865,4860,4865,4285,3150,65,40,75,190,195,230,215,210,63659,5365,635,610,11.4
