GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_5005: Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,v_CA16_3852: Total - Aboriginal identity for the population in private households - 25% sample data,v_CA16_3999: Total - Ethnic origin for the population in private households - 25% sample data,v_CA16_3438: Total - Age at immigration for the immigrant population in private households - 25% sample data,v_CA16_3390: Total - Citizenship for the population in private households - 25% sample data,"v_CA16_5096: Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data","v_CA16_5051: Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",v_CA16_5621: Total population aged 15 years and over by work activity during the reference year - 25% sample data,v_CA16_5762: Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,v_CA16_5807: Bicycle,v_CA16_5807: Bicycle.1,v_CA16_388: 15 to 64 years,v_CA16_418: Private households by household size,v_CA16_406: Population density per square kilometre,v_CA16_424: Number of persons in private households,v_CA16_478: Total - Census families in private households by family size - 100% data,v_CA16_485: Total couple families,v_CA16_491: Total - Couple census families in private households - 100% data,v_CA16_501: Total - Persons not in census families in private households - 100% data,v_CA16_509: Non-census-family households,v_CA16_504: Total - Private households by household type - 100% data,v_CA16_2201: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2246: Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2297: Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2351: With employment income,v_CA16_2396: Total - Income statistics in 2015 for private households by household size - 100% data,"v_CA16_2406: Under $5,000","v_CA16_2407: $5,000 to $9,999","v_CA16_2408: $10,000 to $14,999","v_CA16_2416: $50,000 to $59,999","v_CA16_2417: $60,000 to $69,999","v_CA16_2418: $70,000 to $79,999","v_CA16_2419: $80,000 to $89,999","v_CA16_2420: $90,000 to $99,999",v_CA16_2465: Median total income in 2015 for persons aged 15 years and over not in economic families ($),v_CA16_2510: Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,"v_CA16_2525: In low income based on the Low-income measure, after tax (LIM-AT)","v_CA16_2555: In low income based on the Low-income cut-offs, after tax (LICO-AT)","v_CA16_2570: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",Cost_of_Bike_in_2014-04-14,Cost_of_Bike_in_2014-04-21,Cost_of_Bike_in_2014-04-28,Cost_of_Bike_in_2014-05-05,Cost_of_Bike_in_2014-05-12,Density_Theft_Bikes_in_2014-04-14/Area,Density_Theft_Bikes_in_2014-04-21/Area,Density_Theft_Bikes_in_2014-04-28/Area,Density_Theft_Bikes_in_2014-05-05/Area,Density_Theft_Bikes_in_2014-05-12/Area
5350001.0,CT,Toronto,6.62211,595.0,274.0,247.0,120.0,575.0,575.0,175.0,580.0,455.0,505.0,505.0,380.0,30.0,30.0,78.2,245.0,97.6,595.0,175.0,150.0,150.0,115.0,75.0,245.0,510.0,510.0,510.0,415.0,245.0,5.0,10.0,5.0,10.0,15.0,10.0,15.0,5.0,37760.0,595.0,80.0,90.0,15.1,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.5033642348637116,0.0
5350002.0,CT,Toronto,3.2947,620.0,279.0,270.0,100.0,655.0,650.0,150.0,655.0,340.0,600.0,600.0,370.0,75.0,75.0,62.1,270.0,195.4,590.0,185.0,150.0,150.0,115.0,85.0,270.0,530.0,530.0,530.0,380.0,270.0,5.0,5.0,5.0,15.0,20.0,25.0,10.0,20.0,39040.0,585.0,70.0,55.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5350003.0,CT,Toronto,0.94253,749.0,267.0,258.0,150.0,455.0,455.0,180.0,455.0,345.0,420.0,425.0,315.0,20.0,20.0,68.0,260.0,820.5,465.0,130.0,110.0,110.0,150.0,130.0,260.0,425.0,430.0,430.0,335.0,260.0,15.0,0.0,5.0,15.0,15.0,25.0,20.0,20.0,61952.0,465.0,65.0,60.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5350004.0,CT,Toronto,0.34347,6686.0,3609.0,3455.0,2565.0,6350.0,6350.0,2860.0,6350.0,4360.0,5705.0,5705.0,3535.0,385.0,385.0,78.8,3455.0,19453.0,6340.0,1325.0,1010.0,1015.0,2770.0,2160.0,3455.0,5705.0,5700.0,5700.0,4010.0,3455.0,140.0,125.0,300.0,290.0,205.0,140.0,135.0,85.0,22176.0,6335.0,2210.0,1965.0,31.0,0.0,200.0,0.0,0.0,0.0,0.0,0.7562240071629538,0.0,0.0,0.0
5350005.0,CT,Toronto,0.37611999999999995,6424.0,3729.0,3424.0,2380.0,6105.0,6105.0,2390.0,6105.0,4200.0,5530.0,5530.0,3650.0,320.0,320.0,78.7,3420.0,17076.0,6100.0,1355.0,980.0,980.0,2640.0,2090.0,3425.0,5530.0,5530.0,5525.0,4090.0,3425.0,85.0,130.0,265.0,250.0,235.0,205.0,170.0,145.0,25984.0,6100.0,1745.0,1615.0,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5350007.01,CT,Toronto,0.19931,3237.0,1827.0,1747.0,1275.0,3160.0,3160.0,1390.0,3160.0,2280.0,2840.0,2840.0,1980.0,185.0,185.0,79.9,1750.0,16233.7,3160.0,685.0,535.0,540.0,1340.0,1070.0,1750.0,2820.0,2820.0,2820.0,2180.0,1750.0,55.0,55.0,115.0,160.0,120.0,80.0,75.0,55.0,28078.0,3160.0,820.0,735.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5350007.02,CT,Toronto,0.43656999999999996,4753.0,2653.0,2506.0,1665.0,4590.0,4590.0,2105.0,4590.0,3075.0,4090.0,4090.0,2540.0,235.0,235.0,79.5,2505.0,10891.4,4590.0,1000.0,725.0,720.0,1905.0,1520.0,2505.0,4115.0,4110.0,4110.0,2935.0,2505.0,90.0,95.0,175.0,210.0,185.0,150.0,95.0,85.0,24992.0,4585.0,1450.0,1230.0,26.8,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.974716345359546
5350008.01,CT,Toronto,0.29723,7503.0,5192.0,4954.0,3525.0,7635.0,7635.0,1950.0,7635.0,6655.0,7335.0,7335.0,6605.0,325.0,325.0,94.6,4955.0,25262.6,7500.0,1710.0,1625.0,1625.0,3760.0,3245.0,4955.0,7200.0,7205.0,7205.0,6750.0,4955.0,115.0,80.0,80.0,380.0,410.0,425.0,405.0,365.0,63696.0,7500.0,735.0,725.0,9.7,0.0,1050.0,0.0,0.0,1600.0,0.0,2.0703987329159754,0.0,0.0,3.105598099373964
5350008.02,CT,Toronto,1.8393700000000002,9942.0,6390.0,6060.0,4240.0,9880.0,9885.0,3475.0,9880.0,7875.0,9235.0,9235.0,7395.0,400.0,400.0,88.9,6060.0,5345.7,9880.0,2285.0,1955.0,1955.0,4525.0,3805.0,6060.0,9235.0,9235.0,9235.0,8035.0,6060.0,205.0,140.0,180.0,470.0,535.0,460.0,430.0,340.0,53504.0,9885.0,1665.0,1575.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5350009.0,CT,Toronto,0.10317,567.0,169.0,166.0,165.0,280.0,275.0,95.0,275.0,190.0,260.0,265.0,135.0,10.0,10.0,83.3,165.0,5499.5,290.0,60.0,35.0,35.0,135.0,105.0,170.0,260.0,260.0,260.0,165.0,170.0,0.0,0.0,30.0,15.0,10.0,5.0,10.0,5.0,19264.0,295.0,115.0,90.0,30.5,0.0,1200.0,0.0,0.0,0.0,0.0,96.92740137636908,0.0,0.0,0.0
