,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_5005: Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,v_CA16_3852: Total - Aboriginal identity for the population in private households - 25% sample data,v_CA16_3999: Total - Ethnic origin for the population in private households - 25% sample data,v_CA16_3438: Total - Age at immigration for the immigrant population in private households - 25% sample data,v_CA16_3390: Total - Citizenship for the population in private households - 25% sample data,"v_CA16_5096: Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data","v_CA16_5051: Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",v_CA16_5621: Total population aged 15 years and over by work activity during the reference year - 25% sample data,v_CA16_5762: Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,v_CA16_5807: Bicycle,v_CA16_5807: Bicycle.1,v_CA16_388: 15 to 64 years,v_CA16_418: Private households by household size,v_CA16_406: Population density per square kilometre,v_CA16_424: Number of persons in private households,v_CA16_478: Total - Census families in private households by family size - 100% data,v_CA16_485: Total couple families,v_CA16_491: Total - Couple census families in private households - 100% data,v_CA16_501: Total - Persons not in census families in private households - 100% data,v_CA16_509: Non-census-family households,v_CA16_504: Total - Private households by household type - 100% data,v_CA16_2201: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2246: Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2297: Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2351: With employment income,v_CA16_2396: Total - Income statistics in 2015 for private households by household size - 100% data,"v_CA16_2406: Under $5,000","v_CA16_2407: $5,000 to $9,999","v_CA16_2408: $10,000 to $14,999","v_CA16_2416: $50,000 to $59,999","v_CA16_2417: $60,000 to $69,999","v_CA16_2418: $70,000 to $79,999","v_CA16_2419: $80,000 to $89,999","v_CA16_2420: $90,000 to $99,999",v_CA16_2465: Median total income in 2015 for persons aged 15 years and over not in economic families ($),v_CA16_2510: Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,"v_CA16_2525: In low income based on the Low-income measure, after tax (LIM-AT)","v_CA16_2555: In low income based on the Low-income cut-offs, after tax (LICO-AT)","v_CA16_2570: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)"
0,5050001.01,CT,Ottawa,2.00958,7982,3514,3282,1780,8200,8200,3685,8195,4270,6615,6615,3325,45,45,68.9,3285,3972.3,7980,1895,1220,1215,2025,1450,3285,6390,6390,6395,3890,3280,110,110,210,290,260,205,155,115,20032,7975,3125,2635,33.0
1,5050001.04,CT,Ottawa,1.36066,2718,1237,1163,635,2615,2615,720,2615,1225,2275,2280,1145,15,15,62.5,1165,1997.6,2645,705,575,580,725,480,1165,2350,2350,2355,1455,1165,35,15,25,105,95,95,90,80,30032,2645,390,400,15.1
2,5050001.05,CT,Ottawa,2.70025,5984,2022,1984,460,6005,6005,2240,6000,3315,4930,4930,3245,30,30,72.3,1985,2216.0,5975,1650,1300,1300,625,380,1985,4840,4835,4840,3535,1985,15,10,35,105,135,130,140,155,50048,5975,915,735,12.3
3,5050001.06,CT,Ottawa,1.25433,6111,2402,2347,885,6110,6110,2110,6110,3415,4965,4965,2995,25,25,71.7,2345,4872.0,6110,1675,1230,1230,1070,725,2345,4985,4985,4985,3600,2350,30,20,55,195,185,160,160,140,44032,6110,1195,945,15.5
4,5050001.07,CT,Ottawa,0.9742200000000001,4193,1473,1444,360,4030,4030,1375,4030,2200,3410,3410,1925,15,15,72.6,1445,4303.6,4195,1140,825,825,505,350,1445,3460,3455,3455,2385,1440,10,10,25,105,90,110,90,60,49536,4190,890,690,16.5
5,5050001.08,CT,Ottawa,4.60734,4632,1496,1478,335,4790,4790,1845,4790,2530,3845,3845,2315,0,0,70.8,1480,1005.6,4630,1305,1025,1030,415,235,1475,3800,3800,3795,2590,1480,15,15,25,80,80,95,85,80,49024,4630,740,560,12.1
6,5050002.01,CT,Ottawa,2.71663,2885,1174,1145,340,2725,2725,565,2725,1385,2420,2415,1330,35,35,60.8,1145,1119.3,2855,890,800,805,385,270,1145,2485,2480,2480,1595,1145,5,5,0,45,55,65,60,85,53419,2855,160,145,5.1
7,5050002.02,CT,Ottawa,1.52026,3470,1307,1284,365,3140,3140,810,3145,1390,2665,2670,1385,30,30,56.1,1280,2282.1,3285,995,830,835,425,305,1285,2800,2800,2805,1770,1285,10,5,5,85,90,75,85,85,53376,3285,350,300,9.1
8,5050002.05,CT,Ottawa,1.36697,5116,2026,1943,860,5260,5260,2150,5260,2835,4240,4240,2340,20,20,68.9,1940,3742.5,5115,1310,915,920,985,675,1945,4100,4100,4100,2695,1945,35,30,80,210,165,150,115,100,30613,5115,1555,1275,24.9
9,5050002.06,CT,Ottawa,4.4882800000000005,2609,1046,1015,300,2755,2755,830,2755,1505,2295,2295,1410,40,40,65.7,1015,581.6,2605,795,660,660,330,245,1015,2220,2215,2220,1530,1015,10,5,10,70,50,55,60,80,52139,2600,210,185,7.1
