,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_2: Age Stats,v_CA16_3: Age Stats,v_CA16_418: Private households by household size,v_CA16_478: Total - Census families in private households by family size - 100% data,v_CA16_478: Total - Census families in private households by family size - 100% data.1,v_CA16_2201: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2246: Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2345: Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2396: Total - Income statistics in 2015 for private households by household size - 100% data,v_CA16_2399: Total - Income statistics in 2015 for one-person private households - 100% data,v_CA16_2402: Total - Income statistics in 2015 for two-or-more-person private households - 100% data,v_CA16_2405: Total - Household total income groups in 2015 for private households - 100% data,v_CA16_2446: Total - Income statistics in 2015 for economic families in private households - 100% data,v_CA16_2450: Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data,v_CA16_2454: Total - Income statistics in 2015 for couple economic families with children in private households - 100% data,v_CA16_2462: Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data,v_CA16_5807: Bicycle
0,5350001.0,CT,Toronto,6.62211,595,274,247,310,285,245,175,175,510,510,510,245,65,185,245,175,70,70,100,30
1,5350002.0,CT,Toronto,3.2947,620,279,270,305,315,270,185,185,530,530,530,270,75,195,270,185,90,55,105,75
2,5350003.0,CT,Toronto,0.94253,749,267,258,370,380,260,130,130,425,430,430,260,120,140,255,130,70,40,140,20
3,5350004.0,CT,Toronto,0.34347,6686,3609,3455,3395,3290,3455,1325,1325,5705,5700,5700,3455,1795,1655,3455,1375,505,465,2530,385
4,5350005.0,CT,Toronto,0.37611999999999995,6424,3729,3424,3090,3330,3420,1355,1355,5530,5530,5530,3425,1720,1700,3425,1400,595,365,2420,320
5,5350006.0,CT,Toronto,0.01288,0,0,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
6,5350007.01,CT,Toronto,0.19931,3237,1827,1747,1665,1570,1750,685,685,2820,2820,2815,1750,920,825,1745,710,295,235,1255,185
7,5350007.02,CT,Toronto,0.43656999999999996,4753,2653,2506,2430,2320,2505,1000,1000,4115,4110,4115,2505,1275,1230,2505,1030,380,325,1760,235
8,5350008.01,CT,Toronto,0.29723,7503,5192,4954,3755,3745,4955,1710,1710,7200,7205,7205,4955,2790,2160,4950,1780,1365,245,3585,325
9,5350008.02,CT,Toronto,1.8393700000000002,9942,6390,6060,4860,5085,6060,2285,2285,9235,9235,9235,6060,3210,2855,6060,2360,1430,490,4260,400
10,5350009.0,CT,Toronto,0.10317,567,169,166,350,220,165,60,60,260,260,260,170,90,75,165,60,20,5,125,10
11,5350010.01,CT,Toronto,0.26263000000000003,5428,3281,3147,2580,2845,3150,1350,1350,4865,4860,4865,3150,1570,1575,3145,1375,805,315,2050,225
12,5350010.02,CT,Toronto,0.54735,7740,4628,4447,3870,3870,4450,1710,1710,6830,6830,6825,4450,2415,2030,4445,1735,1040,405,3130,370
13,5350011.0,CT,Toronto,0.9803700000000001,17549,15207,11891,9055,8495,11890,3395,3395,16935,16940,16940,11890,7275,4615,11890,3575,2660,500,9510,450
14,5350012.01,CT,Toronto,0.41877,11658,7449,6881,5820,5840,6880,2415,2415,10840,10840,10845,6880,3430,3455,6880,2565,1510,495,5400,380
15,5350012.03,CT,Toronto,0.46643,8865,5997,5311,4695,4175,5310,1920,1920,8405,8405,8405,5310,2650,2660,5310,2040,1265,440,4075,140
16,5350012.04,CT,Toronto,0.233,4899,3258,2956,2465,2435,2955,1155,1155,4610,4615,4610,2955,1505,1455,2955,1195,790,235,2120,90
17,5350013.01,CT,Toronto,0.34314,6290,4499,4059,3150,3140,4060,1400,1400,5980,5980,5980,4060,2295,1770,4060,1465,1000,230,2930,40
18,5350013.02,CT,Toronto,0.41796000000000005,8126,5270,4725,4090,4030,4725,2080,2080,7540,7540,7540,4725,2295,2430,4725,2130,1330,540,2940,65
19,5350014.0,CT,Toronto,0.47266,1242,975,691,660,580,690,310,310,1120,1115,1120,690,340,350,695,320,185,80,415,10
20,5350015.0,CT,Toronto,0.28599,3663,2451,2226,1810,1860,2225,890,890,3400,3400,3400,2230,1180,1050,2230,915,620,140,1460,25
21,5350016.0,CT,Toronto,0.65971,10101,6527,6180,5195,4910,6180,2270,2270,9120,9120,9120,6180,3520,2660,6180,2335,1640,375,4245,350
22,5350017.0,CT,Toronto,1.37531,7906,5250,4663,3715,4190,4660,1865,1865,7145,7140,7145,4660,2515,2145,4660,1915,950,425,3055,330
23,5350018.0,CT,Toronto,0.35178000000000004,2456,1319,1248,1255,1205,1245,590,590,2055,2055,2055,1250,595,655,1250,595,315,180,775,135
24,5350019.0,CT,Toronto,0.24894000000000002,3258,1410,1365,1615,1645,1365,810,810,2575,2580,2575,1365,490,875,1365,815,250,335,670,120
25,5350020.0,CT,Toronto,0.7386199999999999,2390,1028,1014,1105,1285,1015,700,700,1935,1935,1935,1015,310,705,1015,695,270,335,345,35
26,5350021.0,CT,Toronto,0.8680700000000001,5199,2830,2661,2405,2795,2660,1350,1350,4490,4490,4490,2660,1220,1440,2665,1350,585,520,1445,180
27,5350022.0,CT,Toronto,0.55462,3883,1577,1504,1915,1965,1505,1090,1090,3075,3075,3075,1505,390,1110,1500,1095,335,595,475,85
28,5350023.0,CT,Toronto,0.68635,3208,1355,1286,1525,1680,1285,905,905,2630,2635,2635,1285,365,920,1285,905,310,470,420,55
29,5350024.0,CT,Toronto,0.70927,6887,3136,2963,3285,3600,2965,1890,1890,5485,5485,5485,2965,980,1990,2960,1900,670,880,1225,215
30,5350025.0,CT,Toronto,0.5284300000000001,3456,1659,1610,1720,1730,1610,940,940,2845,2850,2845,1610,610,1000,1610,955,370,370,740,105
31,5350026.0,CT,Toronto,0.7771899999999999,6486,2894,2695,3195,3290,2695,1765,1765,5325,5330,5325,2695,835,1855,2695,1735,565,775,1225,250
32,5350027.0,CT,Toronto,0.48531,4390,1818,1724,2175,2220,1725,1170,1170,3600,3605,3600,1725,495,1230,1725,1150,370,510,790,165
33,5350028.01,CT,Toronto,0.20715999999999998,1387,728,684,670,715,680,375,375,1165,1165,1160,685,290,400,680,380,180,135,345,50
34,5350028.02,CT,Toronto,0.46335,6198,3007,2836,3075,3125,2835,1585,1585,5130,5130,5135,2835,1120,1715,2835,1585,720,595,1555,240
35,5350029.0,CT,Toronto,0.6866899999999999,6987,3099,2962,3520,3465,2965,1820,1820,5890,5890,5890,2960,1020,1940,2965,1790,665,710,1560,325
36,5350030.0,CT,Toronto,0.38708000000000004,4529,2319,2195,2395,2135,2195,1030,1030,3850,3855,3850,2195,960,1235,2195,1060,450,310,1385,190
37,5350031.0,CT,Toronto,0.26375,6274,2864,2765,3130,3135,2765,1430,1430,5190,5190,5190,2765,1195,1570,2765,1430,335,605,1545,110
38,5350032.0,CT,Toronto,0.4197,5363,2976,2641,3455,1905,2640,750,750,3870,3875,3875,2645,1690,950,2640,770,370,175,2190,225
39,5350033.0,CT,Toronto,0.31956999999999997,5042,3010,2733,3000,2040,2735,845,845,4035,4035,4035,2735,1640,1090,2735,875,350,190,2185,115
40,5350034.01,CT,Toronto,0.12455,4554,2884,2268,2400,2150,2265,770,770,3785,3785,3785,2270,1035,1230,2265,835,470,190,1970,70
41,5350034.02,CT,Toronto,0.39824,5147,3409,3055,2770,2375,3055,975,975,4645,4645,4650,3055,1685,1370,3055,1025,585,190,2460,95
42,5350035.0,CT,Toronto,0.66273,9876,6772,5707,4655,5220,5705,1870,1870,9145,9145,9140,5705,2870,2840,5710,2080,965,530,4640,120
43,5350036.0,CT,Toronto,0.38343,5487,3641,3272,2635,2855,3275,1055,1055,5160,5160,5160,3270,1825,1445,3275,1125,600,250,2675,210
