,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_1: Age Stats
0,10,PR,Newfoundland and Labrador,406997.79082,519716,265739,218673,519715
1,11,PR,Prince Edward Island,5893.29227,142907,71119,59472,142910
2,12,PR,Nova Scotia,55643.24986,923598,458568,401990,923595
3,13,PR,New Brunswick,73050.55017999999,747101,359721,319773,747105
4,24,PR,Quebec,1509745.24032,8164361,3858943,3531663,8164360
5,35,PR,Ontario,986722.0865,13448494,5598391,5169174,13448490
6,46,PR,Manitoba,649630.62933,1278365,539748,489050,1278365
7,47,PR,Saskatchewan,652385.2529600001,1098352,495582,432622,1098350
8,48,PR,Alberta,663250.79319,4067175,1654129,1527678,4067175
9,59,PR,British Columbia,948292.37949,4648055,2063417,1881969,4648055
10,60,PR,Yukon,483867.20207,35874,17987,15215,35870
11,61,PR,Northwest Territories,1350022.64437,41786,17666,14981,41785
12,62,PR,Nunavut,2094248.7446599999,35944,11433,9819,35945
