,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_5005: Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,v_CA16_3852: Total - Aboriginal identity for the population in private households - 25% sample data,v_CA16_3999: Total - Ethnic origin for the population in private households - 25% sample data,v_CA16_3438: Total - Age at immigration for the immigrant population in private households - 25% sample data,v_CA16_3390: Total - Citizenship for the population in private households - 25% sample data,"v_CA16_5096: Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data","v_CA16_5051: Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",v_CA16_5621: Total population aged 15 years and over by work activity during the reference year - 25% sample data,v_CA16_5762: Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,v_CA16_5807: Bicycle
0,5350001.0,CT,Toronto,6.62211,595,274,247,120,575,575,175,580,455,505,505,380,30
1,5350002.0,CT,Toronto,3.2947,620,279,270,100,655,650,150,655,340,600,600,370,75
2,5350003.0,CT,Toronto,0.94253,749,267,258,150,455,455,180,455,345,420,425,315,20
3,5350004.0,CT,Toronto,0.34347,6686,3609,3455,2565,6350,6350,2860,6350,4360,5705,5705,3535,385
4,5350005.0,CT,Toronto,0.37611999999999995,6424,3729,3424,2380,6105,6105,2390,6105,4200,5530,5530,3650,320
5,5350006.0,CT,Toronto,0.01288,0,0,0,x,x,x,x,x,x,x,x,x,x
6,5350007.01,CT,Toronto,0.19931,3237,1827,1747,1275,3160,3160,1390,3160,2280,2840,2840,1980,185
7,5350007.02,CT,Toronto,0.43656999999999996,4753,2653,2506,1665,4590,4590,2105,4590,3075,4090,4090,2540,235
8,5350008.01,CT,Toronto,0.29723,7503,5192,4954,3525,7635,7635,1950,7635,6655,7335,7335,6605,325
9,5350008.02,CT,Toronto,1.8393700000000002,9942,6390,6060,4240,9880,9885,3475,9880,7875,9235,9235,7395,400
10,5350009.0,CT,Toronto,0.10317,567,169,166,165,280,275,95,275,190,260,265,135,10
11,5350010.01,CT,Toronto,0.26263000000000003,5428,3281,3147,2020,5245,5245,1315,5240,4115,4730,4730,3925,225
12,5350010.02,CT,Toronto,0.54735,7740,4628,4447,3165,7400,7400,2165,7395,5795,6830,6830,5425,370
13,5350011.0,CT,Toronto,0.9803700000000001,17549,15207,11891,9545,17415,17415,5235,17420,14175,16940,16935,14350,450
14,5350012.01,CT,Toronto,0.41877,11658,7449,6881,5395,11630,11630,4340,11630,8600,10840,10840,8455,380
15,5350012.03,CT,Toronto,0.46643,8865,5997,5311,4030,8750,8745,3335,8745,6795,8275,8275,6785,140
16,5350012.04,CT,Toronto,0.233,4899,3258,2956,2135,4920,4920,2065,4925,3755,4670,4670,3660,90
17,5350013.01,CT,Toronto,0.34314,6290,4499,4059,2910,6330,6330,2250,6325,4700,5985,5985,4655,40
18,5350013.02,CT,Toronto,0.41796000000000005,8126,5270,4725,2960,8050,8050,3665,8045,5785,7535,7535,5400,65
19,5350014.0,CT,Toronto,0.47266,1242,975,691,375,1185,1185,430,1185,880,1115,1115,825,10
20,5350015.0,CT,Toronto,0.28599,3663,2451,2226,1470,3650,3650,1240,3650,2635,3490,3490,2475,25
21,5350016.0,CT,Toronto,0.65971,10101,6527,6180,4225,9715,9715,2970,9720,7680,9120,9120,7330,350
22,5350017.0,CT,Toronto,1.37531,7906,5250,4663,3105,7875,7875,2765,7875,5445,7145,7145,4790,330
23,5350018.0,CT,Toronto,0.35178000000000004,2456,1319,1248,715,2390,2390,570,2390,1745,2080,2080,1510,135
24,5350019.0,CT,Toronto,0.24894000000000002,3258,1410,1365,730,3080,3080,930,3075,2030,2670,2670,1670,120
25,5350020.0,CT,Toronto,0.7386199999999999,2390,1028,1014,340,2420,2415,665,2420,1390,2005,2005,1275,35
26,5350021.0,CT,Toronto,0.8680700000000001,5199,2830,2661,1460,5165,5165,1140,5165,3200,4425,4425,3005,180
27,5350022.0,CT,Toronto,0.55462,3883,1577,1504,415,4020,4015,590,4020,2220,3150,3150,2145,85
28,5350023.0,CT,Toronto,0.68635,3208,1355,1286,430,3045,3050,590,3045,1725,2565,2560,1670,55
29,5350024.0,CT,Toronto,0.70927,6887,3136,2963,1235,6795,6790,1235,6795,4075,5480,5480,3880,215
30,5350025.0,CT,Toronto,0.5284300000000001,3456,1659,1610,755,3380,3375,640,3375,2195,2800,2800,1890,105
31,5350026.0,CT,Toronto,0.7771899999999999,6486,2894,2695,1255,6470,6470,1840,6470,4170,5330,5325,3525,250
32,5350027.0,CT,Toronto,0.48531,4390,1818,1724,715,4330,4330,1215,4330,2750,3635,3630,2290,165
33,5350028.01,CT,Toronto,0.20715999999999998,1387,728,684,315,1375,1370,300,1375,1005,1150,1150,950,50
34,5350028.02,CT,Toronto,0.46335,6198,3007,2836,1510,5900,5905,1665,5905,4040,5060,5060,3645,240
35,5350029.0,CT,Toronto,0.6866899999999999,6987,3099,2962,1625,6770,6765,2415,6770,4250,5790,5790,3670,325
36,5350030.0,CT,Toronto,0.38708000000000004,4529,2319,2195,1520,4445,4440,1660,4440,2845,3830,3830,2460,190
37,5350031.0,CT,Toronto,0.26375,6274,2864,2765,1465,6235,6235,3350,6235,3710,5215,5215,2660,110
38,5350032.0,CT,Toronto,0.4197,5363,2976,2641,2280,4240,4245,1660,4245,2890,3985,3980,2260,225
39,5350033.0,CT,Toronto,0.31956999999999997,5042,3010,2733,2045,4495,4495,1840,4495,2855,3925,3925,1890,115
40,5350034.01,CT,Toronto,0.12455,4554,2884,2268,1915,4125,4125,1740,4125,2665,3910,3915,2595,70
41,5350034.02,CT,Toronto,0.39824,5147,3409,3055,2440,4875,4880,1775,4880,3425,4560,4555,3030,95
42,5350035.0,CT,Toronto,0.66273,9876,6772,5707,4700,9845,9845,4165,9845,5970,9145,9145,5390,120
43,5350036.0,CT,Toronto,0.38343,5487,3641,3272,2615,5515,5510,2340,5510,3550,5185,5180,3300,210
44,5350037.0,CT,Toronto,0.45102,4494,2463,2116,2375,4250,4250,1600,4250,2300,4005,4005,2295,290
45,5350038.0,CT,Toronto,0.36616,3772,1820,1638,1695,3555,3550,1510,3555,2110,3285,3285,1925,275
46,5350039.0,CT,Toronto,0.31773,4192,1821,1709,1230,4145,4145,2170,4145,2375,3680,3675,1765,165
47,5350040.0,CT,Toronto,0.36873,4568,1961,1788,1250,4545,4545,1820,4545,2900,4015,4010,2410,305
48,5350041.0,CT,Toronto,0.31711999999999996,3453,1588,1453,1065,3430,3430,1300,3430,2280,3090,3090,2095,310
49,5350042.0,CT,Toronto,0.48994,4570,2150,1965,1430,4455,4455,1370,4450,2935,4015,4015,2695,450
50,5350043.0,CT,Toronto,0.55392,3965,1863,1704,1130,3805,3800,1315,3805,2530,3365,3365,2240,315
51,5350044.0,CT,Toronto,0.49063999999999997,8825,5124,4629,3645,8400,8400,2295,8400,6280,7785,7785,6170,740
52,5350045.0,CT,Toronto,0.29514,3453,1567,1468,865,3210,3215,1160,3210,2260,2895,2895,1965,290
53,5350046.0,CT,Toronto,0.42036,3281,1404,1330,790,3445,3445,1385,3445,2055,2975,2975,1825,230
54,5350047.02,CT,Toronto,0.28694000000000003,3791,2083,1947,1395,3710,3705,1665,3705,2290,3245,3245,1800,215
55,5350047.03,CT,Toronto,0.11809000000000001,703,376,361,205,795,800,160,800,585,675,675,505,85
56,5350047.04,CT,Toronto,0.27379000000000003,2846,1253,1180,605,2890,2885,805,2890,1845,2375,2380,1725,215
57,5350048.0,CT,Toronto,0.3349,3557,1660,1560,930,3480,3480,720,3475,2275,2915,2915,2045,265
58,5350049.0,CT,Toronto,0.46479,3663,1506,1426,680,3090,3090,610,3090,1955,2570,2575,1940,230
59,5350050.01,CT,Toronto,1.46504,8746,4553,4336,2030,8765,8770,2955,8770,5405,7580,7575,5040,140
60,5350050.03,CT,Toronto,1.92412,1109,606,590,245,1045,1045,320,1045,730,925,920,700,10
61,5350050.04,CT,Toronto,0.77861,5008,2291,2212,995,4985,4980,1445,4985,2845,4070,4070,2610,105
62,5350051.0,CT,Toronto,0.69119,5399,2570,2313,1350,5460,5465,1230,5460,3460,4670,4670,3370,325
63,5350052.0,CT,Toronto,0.50129,4077,1933,1839,915,4000,4000,1045,4000,2625,3355,3355,2345,295
64,5350053.0,CT,Toronto,0.6831699999999999,5982,2840,2712,1635,5855,5855,2180,5855,4010,5195,5195,3525,355
65,5350054.0,CT,Toronto,0.70239,5803,2975,2724,1840,5850,5855,2215,5855,3850,5235,5240,3475,420
66,5350055.0,CT,Toronto,0.27636,2763,1403,1320,1000,2610,2615,730,2610,1795,2325,2325,1710,320
