,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_1: Age Stats,v_CA16_2201: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2246: Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2297: Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2345: Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_404: Total private dwellings,v_CA16_404: Total private dwellings.1,v_CA16_407: Land area in square kilometres,"v_CA16_401: Population, 2016","v_CA16_403: Population percentage change, 2011 to 2016",v_CA16_406: Population density per square kilometre,v_CA16_6751: Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,v_CA16_6754: Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data,v_CA16_6757: Median employment income in 2015 for full-year full-time workers ($),v_CA16_6760: Average employment income in 2015 for full-year full-time workers ($),v_CA16_5621: Total population aged 15 years and over by work activity during the reference year - 25% sample data,v_CA16_5627: Worked,"v_CA16_5630: Worked full year, full time",v_CA16_5633: Worked part year and/or part time,"v_TX2016_349: Taxfilers and dependents by single year of age, 2016 - Total","v_TX2017_349: Taxfilers and dependents by single year of age, 2017 - Total","v_TX2018_349: Taxfilers and dependents by single year of age, 2018 - Total"
0,5050001.01,CT,Ottawa,2.00958,7982,3514,3282,7980,6390,6390,6395,6390,3514,3514,2.01,7982,3.1,3972.3,6615,1580,42906,46638,6615,3755,1645,2110,8040,8150,8500
1,5050001.04,CT,Ottawa,1.36066,2718,1237,1163,2715,2350,2350,2355,2350,1237,1237,1.36,2718,-4.6,1997.6,2275,645,54430,61343,2280,1335,650,685,2560,2570,2650
2,5050001.05,CT,Ottawa,2.70025,5984,2022,1984,5980,4840,4835,4840,4835,2022,2022,2.7,5984,1.9,2216.0,4930,1790,60863,66490,4930,3590,1830,1760,5830,6010,6130
3,5050001.06,CT,Ottawa,1.25433,6111,2402,2347,6110,4985,4985,4985,4985,2402,2402,1.25,6111,-2.0,4872.0,4965,1750,60102,63766,4965,3385,1800,1585,6020,5980,6050
4,5050001.07,CT,Ottawa,0.9742200000000001,4193,1473,1444,4195,3460,3455,3455,3460,1473,1473,0.97,4193,-3.0,4303.6,3410,1045,61908,70929,3410,2205,1065,1135,4770,4830,4830
5,5050001.08,CT,Ottawa,4.60734,4632,1496,1478,4630,3800,3800,3795,3800,1496,1496,4.61,4632,0.4,1005.6,3845,1325,62636,68673,3845,2580,1350,1230,5770,5810,5840
6,5050002.01,CT,Ottawa,2.71663,2885,1174,1145,2885,2485,2480,2480,2480,1174,1174,2.58,2885,-0.3,1119.3,2420,780,74124,77467,2415,1470,805,665,3150,3120,3120
7,5050002.02,CT,Ottawa,1.52026,3470,1307,1284,3470,2800,2800,2805,2805,1307,1307,1.52,3470,-1.2,2282.1,2665,770,74851,81031,2670,1560,780,780,3550,3580,3650
8,5050002.04,CT,Ottawa,1.36697,1381,636,621,1385,1235,1235,1235,1235,636,636,1.18,1381,1.3,1169.2,1260,280,82810,107385,1255,570,280,295,1300,1300,1300
9,5050002.05,CT,Ottawa,1.36697,5116,2026,1943,5115,4100,4100,4100,4100,2026,2026,1.37,5116,0.5,3742.5,4240,1180,52353,55516,4240,2675,1240,1440,3620,3580,3650
10,5050002.06,CT,Ottawa,4.4882800000000005,2609,1046,1015,2610,2220,2215,2220,2215,1046,1046,4.49,2609,-2.4,581.6,2290,735,81161,93493,2295,1560,770,790,2560,2530,2560
11,5050003.0,CT,Ottawa,3.41733,4617,2116,1982,4615,3765,3765,3765,3765,2116,2116,3.2,4617,1.2,1444.7,3830,1150,59933,69468,3830,2425,1180,1245,3750,3810,3950
12,5050004.0,CT,Ottawa,1.9478900000000001,3824,2074,1840,3825,3300,3305,3305,3305,2074,2074,1.88,3824,-0.1,2034.2,3260,980,51416,58865,3260,2025,995,1025,3320,3300,3360
13,5050005.0,CT,Ottawa,2.2574400000000003,5876,2686,2522,5875,4930,4935,4935,4930,2686,2686,2.23,5876,-3.8,2635.2,5015,1530,67654,77047,5010,3285,1555,1735,4730,4880,5020
14,5050006.0,CT,Ottawa,2.57261,4097,1591,1533,4100,3385,3385,3390,3385,1591,1591,2.53,4097,0.2,1619.6,3350,1195,89865,95030,3350,2270,1235,1030,4110,4060,4140
15,5050007.01,CT,Ottawa,0.8350700000000001,2230,1166,1101,2230,1935,1935,1935,1935,1166,1166,0.84,2230,-1.1,2670.0,1935,545,74431,84063,1935,1095,575,510,2460,2570,2560
16,5050007.02,CT,Ottawa,0.42172,4681,1909,1630,4680,3485,3485,3485,3485,1909,1909,0.42,4681,-5.5,11100.3,3260,645,33622,39514,3260,1755,655,1100,5320,5060,5100
17,5050007.03,CT,Ottawa,1.21455,3731,1477,1442,3730,3165,3160,3165,3165,1477,1477,1.21,3731,0.3,3073.1,3160,925,78094,93490,3165,1850,945,905,3570,3580,3600
18,5050008.0,CT,Ottawa,1.55436,4622,2155,2068,4620,3990,3990,3990,3990,2155,2155,1.55,4622,0.5,2973.5,4055,1360,52789,59148,4050,2425,1380,1045,4560,4640,4760
19,5050009.0,CT,Ottawa,1.0291299999999999,3271,1465,1407,3275,2770,2775,2775,2770,1465,1465,1.03,3271,-0.3,3177.9,2635,1035,68529,72109,2635,1845,1040,800,3220,3210,3300
20,5050010.0,CT,Ottawa,0.62556,3866,1817,1697,3865,3210,3215,3215,3210,1817,1817,0.63,3866,2.1,6178.7,3290,710,42284,50707,3285,1775,730,1045,3640,3830,3970
21,5050011.01,CT,Ottawa,7.83925,6948,3313,3040,6950,5765,5765,5765,5770,3313,3313,7.81,6948,3.9,889.4,5770,1860,56271,60319,5765,3620,1880,1740,9130,9220,7120
